"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.261791706E-2,1.686507956E1,7.356856110E1,1.502263794E2,NaN,NaN,2.896772628E2,3.453858185E1
6.105532646E-1,1.686508848E1,7.356855682E1,1.502190857E2,0.000000000E0,2.436328125E2,3.183361349E1,2.400000000E1
1.541553855E0,1.686508840E1,7.356855758E1,1.484494934E2,0.000000000E0,2.436328125E2,1.872520060E1,4.000000000E0
2.541555762E0,1.686508723E1,7.356855766E1,1.486307068E2,0.000000000E0,2.436328125E2,5.974296703E0,4.000000000E0
3.541557312E0,1.686508702E1,7.356855699E1,1.487271423E2,0.000000000E0,2.436328125E2,4.279192329E0,4.000000000E0
4.541558743E0,1.686508551E1,7.356855665E1,1.489147644E2,0.000000000E0,2.436328125E2,3.608698811E0,4.000000000E0
5.541561484E0,1.686508412E1,7.356855732E1,1.489648132E2,0.000000000E0,2.436328125E2,3.535533906E0,4.000000000E0
6.541554809E0,1.686508412E1,7.356855758E1,1.488518372E2,0.000000000E0,2.436328125E2,3.535533906E0,4.000000000E0
7.541562319E0,1.686509167E1,7.356856478E1,1.487929382E2,0.000000000E0,4.007812500E1,3.535533906E0,3.000000000E0
8.541568518E0,1.686511434E1,7.356858733E1,1.471188660E2,1.809999943E0,4.957031250E1,3.535533906E0,3.000000000E0
9.541572690E0,1.686514364E1,7.356862094E1,1.467188416E2,4.769999981E0,4.675781250E1,3.535533906E0,3.000000000E0
1.054158127E1,1.686517708E1,7.356865766E1,1.473001404E2,4.989999771E0,4.746093750E1,3.535533906E0,3.000000000E0
1.154158747E1,1.686522515E1,7.356871474E1,1.475008850E2,4.989999771E0,5.976562500E1,3.535533906E0,3.000000000E0
1.254158080E1,1.686526073E1,7.356876218E1,1.479315491E2,5.349999905E0,4.957031250E1,3.535533906E0,3.000000000E0
1.354159272E1,1.686529208E1,7.356880039E1,1.479315512E2,5.349999905E0,4.957032359E1,4.667563314E0,3.469638272E0
1.454159856E1,1.686532192E1,7.356885748E1,1.485939053E2,5.960000038E0,5.273438791E1,4.667563410E0,3.469638143E0
1.554160559E1,1.686534572E1,7.356892649E1,1.492750584E2,6.730000019E0,6.011720339E1,4.667563562E0,3.469637939E0
1.654160810E1,1.686542451E1,7.356894416E1,1.485544771E2,6.480000019E0,5.117589188E1,4.667563597E0,3.469637893E0
1.754161096E1,1.686546386E1,7.356899494E1,1.484709810E2,6.480000019E0,5.117589188E1,4.667563625E0,3.469637854E0
1.854161143E1,1.686548663E1,7.356902432E1,1.490279256E2,5.139999866E0,5.123022842E1,4.667563670E0,3.469637793E0
1.954161716E1,1.686552110E1,7.356906890E1,1.497987998E2,5.360000134E0,5.123022842E1,4.667563711E0,3.469637739E0
