"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.812288542E0,9.749675446E0,4.981640625E-1,-1.155297546E0
1.832189542E0,9.774074707E0,4.911286926E-1,-1.076112213E0
1.852091542E0,9.762997742E0,4.658312988E-1,-1.065334625E0
1.871993542E0,9.766739960E0,4.601431274E-1,-1.108594666E0
1.891895542E0,9.760902100E0,4.605921936E-1,-1.144220581E0
1.911796542E0,9.780511322E0,4.477189636E-1,-1.103804626E0
1.931698542E0,9.776320038E0,4.643344116E-1,-1.089434509E0
1.951600542E0,9.743987274E0,4.572990417E-1,-1.095721436E0
1.971502542E0,9.754764862E0,4.677772522E-1,-1.098565521E0
1.991403542E0,9.754166107E0,4.828958130E-1,-1.112336884E0
2.011305542E0,9.767039337E0,4.755610657E-1,-1.132993927E0
2.031207542E0,9.775122528E0,4.796026611E-1,-1.136586456E0
2.051108542E0,9.772877197E0,4.800517273E-1,-1.101708984E0
2.071010542E0,9.772128754E0,4.875361633E-1,-1.115330658E0
2.090912542E0,9.725425873E0,5.071453857E-1,-1.125958557E0
2.110814542E0,9.736502838E0,4.749623108E-1,-1.101858673E0
2.130715542E0,9.927954712E0,5.195695496E-1,-1.049168243E0
2.150617542E0,9.943821716E0,4.598437500E-1,-1.407223663E0
2.170519542E0,9.211245117E0,6.328839111E-1,-8.357121277E-1
2.190421542E0,1.003183868E1,2.673440552E-1,-1.803449707E0
2.210322542E0,9.623188477E0,7.575746155E-1,-1.079255676E0
2.230224542E0,1.012644196E1,4.079017639E-1,-1.238524475E0
2.250126542E0,9.759405212E0,4.064048767E-1,-1.076411591E0
2.270027542E0,9.671537933E0,6.430627441E-1,-1.022673340E0
2.289929542E0,9.784552917E0,3.899391174E-1,-1.234632568E0
2.309831542E0,9.627529449E0,5.405259705E-1,-1.171314240E0
2.329733542E0,1.001941452E1,4.212240601E-1,-1.085542603E0
2.349634542E0,9.399403839E0,5.481600952E-1,-1.030606842E0
2.369536542E0,1.011970596E1,3.152444458E-1,-1.303788757E0
2.389438542E0,9.358838196E0,6.888674927E-1,-8.894503784E-1
2.409340542E0,9.931247864E0,2.279759216E-1,-1.230740662E0
2.429241542E0,9.754166107E0,6.221063232E-1,-8.994795227E-1
2.449143542E0,9.841135254E0,4.411326599E-1,-1.388662262E0
2.469045542E0,9.720186768E0,3.362008667E-1,-1.130449219E0
2.488946542E0,9.550140381E0,6.227050781E-1,-8.274792480E-1
2.508848542E0,1.023960663E1,3.686833191E-1,-1.143621826E0
2.528750542E0,9.547445984E0,5.448669434E-1,-1.099613342E0
2.548652542E0,1.000309845E1,3.641926575E-1,-1.286873932E0
2.568553542E0,9.481732635E0,5.511538696E-1,-1.019679565E0
2.588455542E0,1.013751892E1,5.075944519E-1,-1.186881866E0
2.608357542E0,9.108558655E0,2.615061951E-1,-8.777746582E-1
2.628258542E0,1.008827133E1,5.749543762E-1,-1.083896027E0
2.648160542E0,9.911638641E0,6.477030945E-1,-1.536704407E0
2.668062542E0,9.406738586E0,2.420466614E-1,-8.436456299E-1
2.687964542E0,9.996512146E0,8.571176147E-1,-1.013692017E0
2.707865625E0,9.335187378E0,3.691323853E-1,-9.223818970E-1
2.727767625E0,1.095212494E1,7.512876892E-1,-1.621577911E0
2.747669625E0,8.658294983E0,1.170565796E-1,-8.174501038E-1
2.767570625E0,1.052895493E1,8.000862122E-1,-1.569037170E0
2.787472625E0,9.113199005E0,2.118095398E-1,-7.888595581E-1
2.807374625E0,1.006611740E1,6.098318481E-1,-1.074765015E0
2.827276625E0,1.060424835E1,5.535488892E-1,-1.095422058E0
2.847177625E0,8.479117584E0,1.152603149E-1,-1.407672729E0
2.867079625E0,1.005399261E1,3.984713745E-1,-5.426216125E-1
2.886981625E0,9.415570221E0,8.161029053E-1,-1.325194244E0
2.906882625E0,9.973160706E0,2.451901245E-1,-9.145980835E-1
2.926784625E0,1.063268921E1,7.201524353E-1,-1.427431641E0
2.946686625E0,7.783065033E0,-6.735992432E-2,-5.996530151E-1
2.966588625E0,1.125225082E1,8.611592102E-1,-1.457219696E0
2.986489625E0,8.267607422E0,3.514691162E-1,-6.500981140E-1
3.006391625E0,1.058059753E1,4.150868225E-1,-1.356628876E0
3.026293625E0,9.569150848E0,8.978329468E-1,-5.620811462E-1
3.046194625E0,1.031624725E1,-2.454895020E-2,-1.819915466E0
3.066096625E0,9.429940338E0,1.172960815E0,-7.191046143E-1
3.085998625E0,9.634115753E0,-1.086740112E-1,-1.375040588E0
3.105899625E0,1.085797073E1,1.251248016E0,-9.713301086E-1
3.125801625E0,9.110654297E0,-1.751358032E-2,-1.579814758E0
3.145703625E0,1.062774948E1,8.481362915E-1,-1.400337982E0
3.165605625E0,9.028475189E0,1.471440125E-1,-1.135987701E0
3.185506625E0,1.052760773E1,1.022224274E0,-1.317111053E0
3.205408625E0,9.742789764E0,8.457412720E-2,-1.265917511E0
3.225310625E0,9.953551483E0,8.202941895E-1,-1.268013153E0
3.245211625E0,9.520951080E0,1.230441284E-1,-9.955796814E-1
3.265113625E0,9.212592316E0,7.646099854E-1,-1.049317932E0
3.285015625E0,1.061831909E1,4.182302856E-1,-1.109492798E0
3.304917625E0,9.373358002E0,5.788462830E-1,-1.160386963E0
3.324818625E0,1.002210892E1,3.649411011E-1,-1.119671631E0
3.344720625E0,8.588240662E0,4.532574463E-1,-7.229965210E-1
3.364622625E0,1.072070618E1,4.974156189E-1,-1.407373352E0
3.384523625E0,9.212742004E0,4.441264343E-1,-8.250842285E-1
3.404425625E0,1.070049820E1,6.012995911E-1,-1.610051880E0
3.424327625E0,8.723259888E0,1.505868530E-1,-6.047424316E-1
3.444228625E0,1.024664200E1,7.387138367E-1,-1.573827209E0
3.464130625E0,9.295220490E0,8.981323242E-2,-6.849755859E-1
3.484032625E0,1.052401520E1,9.795629883E-1,-1.463207245E0
3.503934625E0,9.909842377E0,1.113684082E-1,-1.116528168E0
3.523835625E0,9.729617157E0,8.478369141E-1,-1.126557312E0
3.543737625E0,9.448202362E0,3.996688843E-2,-1.194665680E0
3.563639625E0,9.663454742E0,9.496252441E-1,-7.035369873E-1
3.583540625E0,1.041354492E1,1.835183716E-1,-1.736838226E0
3.603442625E0,9.651629333E0,8.189469910E-1,-6.289920044E-1
3.623344625E0,9.775571594E0,1.640588379E-1,-1.674418030E0
3.643245625E0,8.705895996E0,6.888674927E-1,-1.829196167E-1
3.663147625E0,1.041908340E1,2.525248718E-1,-1.951042786E0
3.683049625E0,9.368418274E0,5.760021973E-1,-4.004173279E-1
3.702951917E0,1.058763290E1,4.915777588E-1,-1.730850677E0
3.722852917E0,8.807085571E0,3.240760803E-1,-4.987628174E-1
3.742754917E0,1.013706985E1,6.632707214E-1,-1.423839111E0
3.762656917E0,9.118438110E0,1.459465027E-1,-9.340576172E-1
3.782557917E0,1.047102539E1,9.834548950E-1,-1.024170227E0
3.802459917E0,1.003737717E1,1.431024170E-1,-1.603764954E0
3.822361917E0,9.791887665E0,8.857081604E-1,-6.143225098E-1
3.842262917E0,9.573791199E0,5.194198608E-2,-1.628164215E0
3.862164917E0,9.251511383E0,9.604028320E-1,-2.263293457E-1
3.882066917E0,1.005893234E1,5.658233643E-2,-2.037263489E0
3.901968917E0,9.592801666E0,7.640112305E-1,-3.382965088E-1
3.921869917E0,9.917925568E0,2.258802795E-1,-1.734892273E0
3.941771917E0,8.748557281E0,6.253994751E-1,-1.875599670E-1
3.961673917E0,1.037043457E1,1.954934692E-1,-1.938768311E0
3.981574917E0,9.350605316E0,7.048841858E-1,-3.610491943E-1
4.001476917E0,1.064481400E1,1.966909790E-1,-1.715283051E0
4.021378917E0,7.568112030E0,6.810836792E-1,-8.607101440E-2
4.041279917E0,1.071935898E1,-5.538482666E-3,-1.749861145E0
4.061181917E0,8.047565002E0,7.216493225E-1,-2.013013916E0
4.081083917E0,1.002031265E1,5.884263611E-1,-8.042774963E-1
4.100984917E0,1.188259003E1,-1.944456482E-1,-3.166964264E0
4.120886917E0,6.772067413E0,2.051483917E0,9.868977356E-1
4.140788917E0,1.164009430E1,-1.428778839E0,-2.859952698E0
4.160689917E0,9.741442566E0,1.597028961E0,3.567082214E-1
4.180591917E0,8.344996490E0,4.537065125E-1,-1.954485626E0
4.200493917E0,8.724457397E0,-2.065704346E-2,-4.809498596E-1
4.220395917E0,1.258118729E1,6.825805664E-1,-1.840123444E0
4.240296917E0,9.614955597E0,6.288423157E-1,-1.450783081E0
4.260198917E0,1.085258194E1,-2.185455322E-2,-1.353186035E0
4.280100917E0,8.045020294E0,1.197210388E0,-2.215393066E-1
4.300001917E0,8.969198456E0,-2.433938599E-1,-1.435814209E0
4.319903917E0,8.888665924E0,6.291416931E-1,-6.494993591E-1
4.339805917E0,8.472980347E0,4.384382629E-1,-1.506018219E0
4.359706917E0,9.985135803E0,2.219883728E-1,-3.721261597E-1
4.379608917E0,8.774453430E0,4.808001709E-1,-1.501078491E0
4.399510917E0,1.070947952E1,4.469705200E-1,-7.243437195E-1
4.419411917E0,1.004022125E1,2.504292297E-1,-2.528691559E0
4.439313917E0,9.528136139E0,5.394781494E-1,-1.545536041E0
4.459215917E0,1.068313431E1,6.183641052E-1,-2.667752380E0
4.479116917E0,8.727750549E0,6.138734436E-1,-1.782942352E0
4.499018917E0,1.115764755E1,5.852828979E-1,-2.672692108E0
4.518920917E0,7.388485565E0,2.962339783E-1,-2.523452454E0
4.538822917E0,1.066157913E1,2.258802795E-1,-2.825973358E0
4.558723917E0,8.000862122E0,1.107696533E-2,-2.790197754E0
4.578625917E0,9.988279266E0,1.311273193E-1,-2.674039307E0
4.598527917E0,9.173373871E0,2.571652222E-1,-3.175346832E0
4.618428917E0,1.005998016E1,4.911286926E-1,-2.639461212E0
4.638330917E0,1.093461136E1,2.899470520E-1,-3.596421204E0
4.658232917E0,9.282496948E0,4.809498596E-1,-2.762804718E0
4.678133917E0,1.150911667E1,3.420387268E-1,-3.770808563E0
4.698035917E0,8.702004089E0,3.990701294E-1,-2.896327057E0
4.717938500E0,1.143606857E1,-4.700225830E-2,-4.310586090E0
4.737839500E0,7.710016937E0,5.373825073E-1,-2.817740479E0
4.757741500E0,1.060559555E1,-7.978408813E-2,-3.713926849E0
4.777643500E0,7.549251251E0,3.171903992E-1,-1.826501770E0
4.797544500E0,9.373807068E0,1.613644409E-1,-2.393522644E0
4.817446500E0,9.261839905E0,2.255809021E-1,-1.309027863E0
4.837348500E0,1.066831512E1,2.442919922E-1,-2.022893372E0
4.857249500E0,1.092158844E1,-1.493893433E-1,-2.789149933E0
4.877151500E0,9.125772858E0,4.825964355E-1,-3.035986633E0
4.897053500E0,9.020391998E0,-4.306544495E-1,-2.968177643E0
4.916955500E0,8.130941620E0,8.051756287E-1,-1.641636200E0
4.936856500E0,1.080737595E1,-2.811154175E-1,-1.582060089E0
4.956758500E0,1.079360458E1,-8.637039185E-2,-2.766996002E0
4.976660500E0,8.609496460E0,3.203338623E-2,-3.250939636E0
4.996561500E0,8.372838593E0,1.308279419E-1,-2.416874084E0
5.016463500E0,9.688153381E0,2.426454163E-1,-1.112336884E0
5.036365500E0,1.114791779E1,1.698966980E-1,-2.053878937E0
5.056266500E0,9.820178833E0,6.750961304E-2,-2.985391846E0
5.076168500E0,8.166717224E0,8.831634521E-2,-2.510130157E0
5.096070500E0,8.550369415E0,3.035687256E-1,-1.876946869E0
5.115971500E0,1.024963577E1,6.601272583E-2,-2.057471466E0
5.135873500E0,1.114387619E1,5.450166321E-1,-2.556533661E0
5.155775500E0,8.785979462E0,2.335144043E-2,-2.748584290E0
5.175676500E0,8.578510895E0,4.028123474E-1,-1.436263275E0
5.195578500E0,1.059062668E1,2.863545227E-1,-1.418600006E0
5.215480500E0,1.161359940E1,6.436614990E-3,-2.581082611E0
5.235381500E0,9.127569122E0,3.167413330E-1,-2.833308105E0
5.255283500E0,8.857830048E0,4.260140991E-1,-2.186353455E0
5.275185500E0,9.022038574E0,2.170486450E-2,-1.209035797E0
5.295087500E0,1.044991928E1,3.852987671E-1,-1.800455933E0
5.314988500E0,1.035292099E1,-2.148033142E-1,-2.870281219E0
5.334890500E0,8.520281982E0,1.856140137E-2,-3.012186127E0
5.354792500E0,9.865684204E0,1.790277100E-1,-2.448159027E0
5.374693500E0,8.366401978E0,3.189866638E-1,-1.125958557E0
5.394595500E0,9.372010803E0,-5.927673340E-2,-1.606609039E0
5.414497500E0,1.050455566E1,4.032614136E-1,-1.744622040E0
5.434398500E0,8.862620087E0,2.826123047E-1,-2.364183655E0
5.454300500E0,1.045665527E1,-2.644999695E-1,-3.289259949E0
5.474202500E0,9.100325775E0,5.134323120E-1,-2.776875458E0
5.494103500E0,1.020877075E1,-7.536827087E-1,-3.991300049E0
5.514005500E0,8.524323578E0,6.737489319E-1,-2.300565948E0
5.533907500E0,9.247769165E0,-6.821315002E-1,-3.735931091E0
5.553808500E0,9.438023529E0,-3.742218018E-2,-1.489402771E0
5.573710500E0,9.687854004E0,7.304809570E-2,-2.524949341E0
5.593612500E0,1.035172348E1,-5.824388123E-1,-1.143322449E0
5.613513500E0,9.118438110E0,1.766326904E-1,-1.923649750E0
5.633415500E0,1.156435181E1,-6.459068298E-1,-1.561552734E0
5.653317500E0,8.395291901E0,1.945953369E-1,-1.850302277E0
5.673218500E0,1.072579559E1,-6.918612671E-1,-1.594035187E0
5.693120500E0,7.655530243E0,3.447331238E-1,-2.075883179E0
5.713022000E0,1.065753754E1,-5.101391602E-1,-2.286195831E0
5.732923000E0,7.764353943E0,4.748126221E-1,-2.074835358E0
5.752825000E0,9.432784424E0,-6.815327454E-1,-2.252815247E0
5.772727000E0,8.522677002E0,2.092648315E-1,-2.445165253E0
5.792628000E0,9.445957031E0,-2.215393066E-1,-1.893412628E0
5.812530000E0,8.309669952E0,3.367996216E-2,-2.459086304E0
5.832432000E0,1.054122940E1,-4.481680298E-1,-1.350192261E0
5.852334000E0,9.694739685E0,1.417552185E-1,-2.790796509E0
5.872235000E0,9.303004303E0,-5.774990845E-1,-1.561702423E0
5.892137000E0,9.278754730E0,3.540138245E-1,-3.326382751E0
5.912039000E0,8.393645325E0,-1.142124939E-1,-1.152004395E0
5.931940000E0,1.196147598E1,-2.691403198E-1,-4.304448853E0
5.951842000E0,9.898316345E0,3.427871704E-1,-8.240364075E-1
5.971744000E0,1.230396378E1,9.684860229E-2,-4.295168152E0
5.991645000E0,8.295898590E0,2.826123047E-1,-4.007167053E-1
6.011547000E0,1.167033142E1,1.405577087E-1,-4.058659973E0
6.031449000E0,7.404502258E0,7.186555481E-1,-1.533560944E0
