"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711705973303195E9,"2024-03-29 15:22:53.303 UTC+05:30"
"PAUSE",2.291817234166665E2,1.711706202484891E9,"2024-03-29 15:26:42.485 UTC+05:30"
