"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.993988037E-3,1.687608029E1,7.364952060E1,8.011574554E1,NaN,NaN,2.922280189E2,2.762268543E0
3.712999821E-2,1.687656485E1,7.364944233E1,8.080047607E1,NaN,NaN,5.655525258E2,4.188934326E0
6.013545990E-1,1.687356330E1,7.364994351E1,1.141944275E2,8.680000305E0,1.873828125E2,1.334042477E1,1.200000000E1
1.336355567E0,1.687335283E1,7.364978006E1,8.162615967E1,9.020000458E0,1.877343750E2,1.153321632E1,3.000000000E0
2.336359859E0,1.687338749E1,7.364972600E1,8.278652954E1,9.020000458E0,1.884375000E2,4.405593048E0,3.000000000E0
3.336361408E0,1.687324533E1,7.364969993E1,8.286779785E1,1.000000000E1,1.905468750E2,4.011307664E0,3.000000000E0
4.336364388E0,1.687314949E1,7.364967889E1,8.256539917E1,1.013000011E1,1.898437500E2,3.622356924E0,3.000000000E0
5.336366534E0,1.687307430E1,7.364965090E1,8.188735962E1,1.086999989E1,1.898437500E2,3.647789921E0,3.000000000E0
6.335847139E0,1.687297849E1,7.364963732E1,8.274502563E1,1.086999989E1,1.845600433E2,3.535533906E0,3.000000000E0
7.335847616E0,1.687287636E1,7.364962122E1,8.290133667E1,1.086999989E1,1.845600433E2,3.535533906E0,3.000000000E0
8.335857749E0,1.687277829E1,7.364960521E1,8.314825439E1,1.097000027E1,1.837796326E2,3.535533906E0,3.000000000E0
9.335855246E0,1.687268312E1,7.364959490E1,8.415707397E1,1.097000027E1,1.837796326E2,3.535533906E0,3.000000000E0
1.033583760E1,1.687257009E1,7.364958426E1,8.394238281E1,1.119999981E1,1.816753082E2,3.535533906E0,3.000000000E0
1.133584547E1,1.687247499E1,7.364957353E1,8.358349609E1,1.119999981E1,1.816753082E2,3.535533906E0,3.000000000E0
1.233586764E1,1.687237110E1,7.364956624E1,8.391885376E1,1.119999981E1,1.816753082E2,3.535533906E0,3.000000000E0
1.333587182E1,1.687226990E1,7.364956624E1,8.391886356E1,1.119999981E1,1.731031647E2,4.667852396E0,3.469249349E0
1.433587837E1,1.687217832E1,7.364957044E1,8.436060548E1,1.118999958E1,1.731031647E2,4.667852770E0,3.469248845E0
1.533587515E1,1.687209306E1,7.364958453E1,8.499973349E1,1.022000027E1,1.734404297E2,4.667853174E0,3.469248302E0
1.633587670E1,1.687198414E1,7.364960771E1,8.538202900E1,1.128999996E1,1.681604614E2,4.667853666E0,3.469247640E0
1.733588195E1,1.687189279E1,7.364964122E1,8.620936010E1,1.103999996E1,1.676428680E2,4.667854154E0,3.469246983E0
