"event","experiment time","system time","system time text"
"START",0.000000000E0,1711706483.847,"2024-03-29 15:31:23.847 UTC+05:30"
"PAUSE",5.379835071E1,1711706537.645,"2024-03-29 15:32:17.645 UTC+05:30"
"START",5.379835071E1,1711706548.526,"2024-03-29 15:32:28.526 UTC+05:30"
"PAUSE",1.221554095E2,1711706616.883,"2024-03-29 15:33:36.883 UTC+05:30"
