"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.201533926E1,1.687406260E1,7.362312600E1,1.791888287E2,3.150000095E0,1.765000000E2,3.790092468E0,2.814952135E0
4.301656217E1,1.687403461E1,7.362312779E1,1.777447047E2,2.750000000E0,1.751000061E2,3.790092468E0,2.654304504E0
4.401754952E1,1.687400411E1,7.362313293E1,1.790492476E2,3.230000019E0,1.700000000E2,3.790092468E0,2.595637560E0
4.501788654E1,1.687397084E1,7.362314411E1,1.783989073E2,3.950000048E0,1.616000061E2,3.790092468E0,2.503700018E0
4.601652222E1,1.687393117E1,7.362315898E1,1.771948782E2,4.679999828E0,1.635000000E2,3.790092468E0,2.519987583E0
4.701603451E1,1.687388286E1,7.362318006E1,1.769163559E2,5.219999790E0,1.578000031E2,3.790092468E0,2.627618074E0
4.802654264E1,1.687383204E1,7.362319669E1,1.767547826E2,6.150000095E0,1.626999969E2,3.790092468E0,2.503153563E0
4.901568753E1,1.687377701E1,7.362321349E1,1.758366310E2,6.019999981E0,1.651999969E2,3.790092468E0,2.633005381E0
5.001551493E1,1.687372697E1,7.362321814E1,1.762620853E2,5.170000076E0,1.720000000E2,3.790092468E0,2.677224636E0
5.101875727E1,1.687369252E1,7.362321461E1,1.764374860E2,3.880000114E0,1.768000031E2,3.790092468E0,2.797784567E0
5.202507128E1,1.687369695E1,7.362321027E1,1.767426455E2,9.100000262E-1,1.981000061E2,3.790092468E0,2.755095720E0
5.301859217E1,1.687369642E1,7.362320490E1,1.767985527E2,0.000000000E0,NaN,3.790092468E0,2.551373959E0
5.379835071E1,1.686520890E1,7.359640190E1,NaN,NaN,NaN,3.099999023E3,0.000000000E0
5.713408336E1,1.687369172E1,7.362320407E1,1.770810990E2,0.000000000E0,NaN,8.563687325E0,9.697211266E0
5.813429071E1,1.687369456E1,7.362320275E1,1.767217753E2,0.000000000E0,NaN,7.012992859E0,8.465291977E0
5.913593008E1,1.687369424E1,7.362320388E1,1.767049312E2,0.000000000E0,NaN,5.549373627E0,7.124577999E0
6.013333508E1,1.687369259E1,7.362320267E1,1.764632977E2,0.000000000E0,NaN,4.520071507E0,5.942323685E0
6.113303711E1,1.687369401E1,7.362320080E1,1.767786609E2,0.000000000E0,NaN,4.249617577E0,5.463889599E0
6.213591768E1,1.687369580E1,7.362320045E1,1.768970632E2,0.000000000E0,NaN,3.844952345E0,4.643672943E0
6.313514013E1,1.687369115E1,7.362319869E1,1.776394477E2,0.000000000E0,NaN,3.790092468E0,4.289578438E0
6.413460820E1,1.687369284E1,7.362319797E1,1.780415416E2,0.000000000E0,NaN,3.790092468E0,3.789520264E0
6.513515508E1,1.687368982E1,7.362319642E1,1.780359962E2,0.000000000E0,NaN,3.790092468E0,3.379678965E0
6.613454029E1,1.687368826E1,7.362319479E1,1.779053241E2,0.000000000E0,NaN,3.790092468E0,3.170051336E0
6.713568409E1,1.687368642E1,7.362319354E1,1.779879098E2,0.000000000E0,NaN,3.790092468E0,2.868554115E0
6.813580289E1,1.687368524E1,7.362318800E1,1.779971882E2,0.000000000E0,NaN,3.790092468E0,2.770316601E0
6.913423367E1,1.687368521E1,7.362318697E1,1.778513137E2,0.000000000E0,NaN,3.790092468E0,2.616756439E0
7.013721602E1,1.687368628E1,7.362318658E1,1.778824380E2,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.113455164E1,1.687368711E1,7.362318861E1,1.778993432E2,0.000000000E0,NaN,3.790092468E0,2.558161497E0
7.213536633E1,1.687374419E1,7.362318784E1,1.769587927E2,5.780000210E0,3.506000061E2,3.790092468E0,2.500000000E0
7.313432945E1,1.687377182E1,7.362317682E1,1.774413043E2,3.559999943E0,3.420000000E2,3.790092468E0,2.536804199E0
7.413858575E1,1.687381211E1,7.362317168E1,1.764874383E2,3.660000086E0,3.451000061E2,3.790092468E0,2.828294277E0
7.513442096E1,1.687385112E1,7.362316286E1,1.774013114E2,3.589999914E0,3.462000122E2,3.790092468E0,2.965680122E0
7.613433106E1,1.687389044E1,7.362315074E1,1.775805626E2,4.309999943E0,3.486000061E2,3.790092468E0,2.999258280E0
7.713485773E1,1.687393060E1,7.362314445E1,1.788484372E2,4.110000134E0,3.477999878E2,3.790092468E0,3.130441189E0
