"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711703835812265E9,"2024-03-29 14:47:15.812 UTC+05:30"
"PAUSE",2.512891560833377E2,1.711704087096405E9,"2024-03-29 14:51:27.096 UTC+05:30"
