"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.850375003E-3,1.058419006E1,-7.116201782E-1,2.694846039E0
1.805062502E-2,1.040710831E1,-1.077309723E0,3.047362976E0
3.795162501E-2,1.049871780E1,-1.286724243E0,2.923121338E0
5.785362501E-2,9.768536224E0,-1.162931671E0,1.642833710E0
7.775462500E-2,9.005872192E0,-1.033600616E0,1.183289337E0
9.765562500E-2,9.064699860E0,-1.014590149E0,9.758207703E-1
1.175566250E-1,9.083261261E0,-8.496331787E-1,8.669970703E-1
1.374576250E-1,8.891060944E0,-6.285429382E-1,4.231700134E-1
1.573596250E-1,8.584348755E0,-3.555107117E-1,9.654922485E-1
1.772606250E-1,8.715775452E0,-1.422042847E-2,1.458417206E0
1.971616250E-1,9.269773407E0,1.585203552E-1,1.503473511E0
2.170626250E-1,1.043824356E1,3.743714905E-1,2.349663849E0
2.369636250E-1,1.085572540E1,1.092727661E-1,2.297422485E0
2.568656250E-1,1.103520218E1,-1.999841309E-1,1.409768372E0
2.767666250E-1,1.003513184E1,-3.731739807E-1,4.357438660E-1
2.966676250E-1,9.178163910E0,-8.924441528E-1,7.661068726E-1
3.165686250E-1,9.896669769E0,-1.178050232E0,-5.810916138E-1
3.364696250E-1,1.094284424E1,-7.652087402E-1,-4.156855774E-1
3.563706250E-1,1.090542206E1,-2.516267395E-1,-4.598437500E-1
3.762726250E-1,1.117126923E1,9.190887451E-2,-7.261399841E-1
3.961736250E-1,1.128293701E1,1.769320679E-1,-5.545967102E-1
4.160746250E-1,8.602311401E0,7.147636414E-1,1.917512512E-1
4.359756250E-1,8.942553864E0,9.434880066E-1,-5.837860107E-3
4.558766250E-1,9.121132507E0,1.474134521E0,-2.677931213E-1
4.757786250E-1,9.822873230E0,2.210153961E0,3.215313721E-1
4.956796250E-1,8.450077972E0,3.960913239E0,-1.024319916E0
5.155806250E-1,8.474177856E0,5.015470276E0,-7.574249268E-1
5.354816250E-1,9.351952515E0,3.376827850E0,8.167016602E-1
5.553826250E-1,9.084458771E0,2.773582306E0,7.563771057E-1
5.752846250E-1,7.473808136E0,2.641856232E0,-5.297483826E-1
5.951856250E-1,6.656507721E0,1.279838562E0,1.807640991E0
6.150866250E-1,8.242908783E0,6.451583862E-1,1.355131989E0
6.349875833E-1,1.073971664E1,1.090182953E0,1.911225586E0
6.548885833E-1,1.146121628E1,1.655856628E0,1.167572021E0
6.747905833E-1,1.103160965E1,5.957611084E-1,6.098318481E-1
6.946915833E-1,1.073178314E1,-2.496807861E-1,7.092251587E-1
7.145925833E-1,1.036848862E1,-4.538562012E-1,-4.323010254E-1
7.344935833E-1,1.047087570E1,-4.194277954E-1,-4.773573303E-1
7.543945833E-1,8.968300323E0,-1.797462158E0,3.933819580E-1
7.742965833E-1,8.815917206E0,-5.734574890E-1,4.679269409E-1
7.941975833E-1,1.000983444E1,2.474354553E0,-2.203417969E-1
8.140985833E-1,1.020562729E1,1.429826660E0,-7.855664063E-1
8.339995833E-1,1.019035904E1,8.547225952E-1,-1.570683746E0
8.539005833E-1,8.109087067E0,3.306623840E-1,6.360273743E-1
8.738025833E-1,8.077203369E0,7.707472229E-1,1.402433624E0
8.937035833E-1,9.975555725E0,2.040556641E0,8.304730225E-1
9.136045833E-1,1.039932449E1,1.394799500E0,1.324745178E0
9.335055834E-1,1.006372238E1,5.269042969E-2,8.969348145E-1
9.534065833E-1,1.013287857E1,-1.161584473E0,2.129022675E0
9.733075833E-1,1.094508957E1,-5.361849976E-1,5.388793945E-1
9.932095833E-1,1.110136459E1,-4.167333984E-1,1.078058167E0
1.013110583E0,1.160416901E1,-8.906478882E-1,1.096619568E0
1.033011583E0,1.025592270E1,-5.180726624E-1,-4.278103638E-1
1.052912583E0,1.034094589E1,-1.960922241E-2,-7.294331360E-1
1.072813583E0,1.023257126E1,-2.118095398E-1,1.145268402E0
1.092715583E0,1.228375580E1,-1.063987427E0,2.074685669E-1
1.112616583E0,1.186283112E1,1.369951172E0,3.381019135E0
1.132517583E0,7.685917053E0,-5.751040649E-1,3.495231628E-1
1.152418583E0,1.083387085E1,-1.534159698E0,3.637435913E-1
1.172319583E0,1.058209442E1,-1.703906708E0,1.334774323E0
1.192221583E0,9.999056854E0,-8.333171082E-1,5.643264771E-2
1.212122583E0,7.341333618E0,2.556683350E0,-4.592449951E-1
1.232023583E0,8.845256195E0,-2.305206299E-1,-9.213340759E-1
1.251924583E0,6.535708923E0,3.357218628E0,5.673202515E-1
1.271825583E0,8.278534698E0,-7.521858215E-1,-1.806293793E0
1.291727583E0,9.374705200E0,9.894424438E-2,-1.034798126E0
1.311628583E0,3.214565277E0,5.475613403E-1,1.432670746E0
1.331529583E0,1.522274414E1,-9.581575012E-1,-5.047803040E0
1.351430583E0,1.162048508E1,4.620890808E-1,9.580078125E-3
1.371331583E0,1.051233948E1,4.239184570E-1,-2.976111145E0
1.391232583E0,1.063268921E1,-6.060896301E-1,9.794132996E-1
1.411134583E0,1.002270767E1,-7.400610352E-1,-9.265731812E-2
1.431035583E0,9.776170349E0,-5.026547241E-1,-4.906347198E0
1.450936583E0,1.572734482E1,-1.753753052E0,4.141437836E0
1.470837583E0,5.623056793E0,-4.334985352E-1,-6.030210114E0
1.490738583E0,1.421488998E1,2.734812927E-1,3.822002106E0
1.510640583E0,5.830525360E0,-5.574407959E-1,-5.043013000E-1
1.530541583E0,1.080902252E1,9.812095642E-1,3.344046021E-1
1.550442583E0,4.818928986E0,4.896318054E-1,-2.405647430E0
1.570343583E0,1.272129593E1,-1.276545410E0,-4.850064240E0
1.590244583E0,7.615114288E0,3.579506378E0,-6.695576477E-1
1.610146583E0,7.171736298E0,-3.465293884E-1,-1.029858398E-1
1.630047583E0,1.305270676E1,1.380728760E0,4.164938965E0
1.649948583E0,5.480852509E0,3.115770721E0,-1.957030334E0
1.669849583E0,1.284404068E1,2.533481598E0,-9.936337280E-1
1.689750583E0,1.090721832E1,1.841021576E0,-2.094594269E0
1.709652583E0,7.962541809E0,2.010169830E0,1.140777740E0
1.729553583E0,7.677534485E0,1.759590912E0,1.369352417E0
