"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.320286036E0,1.684621818E1,7.364521670E1,9.372933960E1,4.079999924E0,2.576953125E2,4.067713077E0,4.000000000E0
3.321388006E0,1.684621571E1,7.364517295E1,9.410202026E1,4.500000000E0,2.633203125E2,3.879040423E0,3.000000000E0
4.319490910E0,1.684621214E1,7.364512668E1,9.405709839E1,4.500000000E0,2.569921875E2,3.734160991E0,3.000000000E0
5.320740938E0,1.684621223E1,7.364507890E1,9.488070679E1,5.000000000E0,2.622656250E2,3.738515551E0,3.000000000E0
6.318896055E0,1.684621625E1,7.364502593E1,9.491213989E1,5.239999771E0,2.685937500E2,4.157669256E0,3.000000000E0
7.317320108E0,1.684619676E1,7.364498285E1,9.409799194E1,4.400000095E0,2.538281250E2,3.787013276E0,3.000000000E0
8.301149249E0,1.684618415E1,7.364493147E1,9.394857788E1,5.110000134E0,2.538281250E2,3.881705750E0,3.000000000E0
9.301136255E0,1.684616806E1,7.364488972E1,9.354025269E1,5.039999962E0,2.453906250E2,3.896512674E0,3.000000000E0
1.030110240E1,1.684616022E1,7.364484052E1,9.323361206E1,5.110000134E0,2.520703125E2,3.751703509E0,3.000000000E0
1.130106533E1,1.684614190E1,7.364480255E1,9.340780640E1,5.039999962E0,2.478515625E2,3.957161752E0,3.000000000E0
1.230103409E1,1.684611760E1,7.364475637E1,9.324142456E1,5.760000229E0,2.355468750E2,3.778541542E0,3.000000000E0
1.330100095E1,1.684611169E1,7.364471018E1,9.365054321E1,5.760000229E0,2.369531250E2,4.337677790E0,3.000000000E0
1.430096757E1,1.684609551E1,7.364466987E1,9.371743774E1,4.949999809E0,2.436328125E2,4.705147924E0,3.000000000E0
1.530093408E1,1.684607565E1,7.364462825E1,9.371743958E1,4.949999809E0,2.436328004E2,4.808490676E0,3.271537017E0
1.630090356E1,1.684606001E1,7.364459531E1,9.321328916E1,4.920000076E0,2.471484252E2,4.765060439E0,3.334476877E0
1.730087352E1,1.684603162E1,7.364457280E1,9.241122568E1,4.230000019E0,2.404687400E2,4.805809643E0,3.275474120E0
1.830084169E1,1.684600048E1,7.364452217E1,9.174868965E1,5.050000191E0,2.387109258E2,4.720952295E0,3.396637523E0
1.930080986E1,1.684596963E1,7.364448846E1,9.079086495E1,5.050000191E0,2.474999873E2,4.676601686E0,3.457446124E0
2.030077577E1,1.684595849E1,7.364444317E1,9.098037872E1,4.539999962E0,2.510156133E2,4.667937397E0,3.469134978E0
2.130074966E1,1.684597737E1,7.364439933E1,9.084213409E1,4.539999962E0,2.728124877E2,4.667937185E0,3.469135263E0
2.230072796E1,1.684599176E1,7.364435092E1,9.099551553E1,4.659999847E0,2.756249874E2,4.714126618E0,3.406104412E0
2.330070817E1,1.684597135E1,7.364429758E1,9.077823053E1,4.869999886E0,2.671874868E2,4.667936807E0,3.469135771E0
2.430069017E1,1.684596697E1,7.364425013E1,8.995630060E1,4.869999886E0,2.675390493E2,4.667936639E0,3.469135997E0
2.530067265E1,1.684596117E1,7.364421658E1,8.953903368E1,4.780000210E0,2.661327995E2,4.667936527E0,3.469136148E0
2.630065787E1,1.684592442E1,7.364417147E1,8.961361865E1,4.780000210E0,2.524218626E2,4.667936472E0,3.469136222E0
2.730064201E1,1.684591192E1,7.364411548E1,8.982364065E1,4.829999924E0,2.566406122E2,4.667936311E0,3.469136439E0
2.830062783E1,1.684588798E1,7.364406620E1,8.909063889E1,4.760000229E0,2.524218627E2,4.667936204E0,3.469136583E0
2.930061507E1,1.684586534E1,7.364402928E1,8.908703806E1,5.070000172E0,2.457421749E2,4.667936139E0,3.469136670E0
3.030060375E1,1.684584836E1,7.364397925E1,8.969607737E1,5.070000172E0,2.474999873E2,4.667936014E0,3.469136838E0
3.130059206E1,1.684583321E1,7.364392828E1,8.966467485E1,5.159999847E0,2.496093618E2,4.667935880E0,3.469137019E0
3.230058205E1,1.684581094E1,7.364387979E1,8.976187346E1,5.309999943E0,2.482031116E2,4.667935777E0,3.469137157E0
3.328584308E1,1.684162369E1,7.364364575E1,8.803990173E1,NaN,NaN,1.414000000E3,2.593393803E0
