"event","experiment time","system time","system time text"
"START",0.000000000E0,1711697701.614,"2024-03-29 13:05:01.614 UTC+05:30"
"PAUSE",9.183875444E1,1711697793.452,"2024-03-29 13:06:33.452 UTC+05:30"
