,Latitude,Longitude,Velocity,Label,PredLabels
0,16.8417473,73.5312247,0.7690253690457652,2,2
1,16.8417473,73.5312247,0.7690253690457652,2,2
2,16.8417473,73.5312247,0.7690253690457652,2,2
3,16.8417473,73.5312247,0.7690253690457652,2,2
4,16.8417473,73.5312247,0.7690253690457652,2,2
5,16.8417473,73.5312247,0.6514649596329403,2,2
6,16.8417473,73.5312247,0.44877459857634633,2,2
7,16.841744,73.5311784,0.36364464693257686,2,2
8,16.841744,73.5311784,0.36364464693257686,2,2
9,16.841744,73.5311784,0.36364464693257686,2,2
10,16.841744,73.5311784,0.36364464693257686,2,2
11,16.841744,73.5311784,0.36364464693257686,2,2
12,16.841744,73.5311784,0.36364464693257686,2,2
13,16.841744,73.5311784,0.36364464693257686,2,2
14,16.841744,73.5311784,0.36364464693257686,2,2
15,16.841744,73.5311784,0.3365173758715747,2,2
16,16.841744,73.5311784,0.30883648703381733,2,2
17,16.8417527,73.5312099,0.3082828692570622,2,2
18,16.8417527,73.5312099,0.3082828692570622,2,2
19,16.8417527,73.5312099,0.3082828692570622,2,2
20,16.8417527,73.5312099,0.3082828692570622,2,2
21,16.8417527,73.5312099,0.4171296899445033,2,2
22,16.8417527,73.5312099,0.6114990126006482,2,2
23,16.8417574,73.531192,2.917207697692746,2,2
24,16.8417574,73.531192,6.617518002898403,2,2
25,16.8417631,73.5311806,8.097642124980664,2,2
26,16.8417631,73.5311806,8.097642124980664,2,2
27,16.8417631,73.5311806,8.097642124980664,2,2
28,16.8417631,73.5311806,8.097642124980664,2,2
29,16.8417631,73.5311806,8.097642124980664,2,2
30,16.8417631,73.5311806,8.097642124980664,2,2
31,16.8417631,73.5311806,8.097642124980664,2,2
32,16.8417631,73.5311806,4.582017055157074,2,2
33,16.8422656,73.5315738,1.0663919853334836,2,2
34,16.8422656,73.5315738,1.0663919853334836,2,2
35,16.8422656,73.5315738,1.0663919853334836,2,2
36,16.8422656,73.5315738,1.0663919853334836,2,2
37,16.8422656,73.5315738,1.1214622019542033,2,2
38,16.8422656,73.5315738,3.8749730329901944,2,2
39,16.8423083,73.5316138,6.573413647405464,2,2
40,16.8423083,73.5316138,6.573413647405464,2,2
41,16.8423083,73.5316138,6.573413647405464,2,2
42,16.8423083,73.5316138,6.573413647405464,2,2
43,16.8423083,73.5316138,6.573413647405464,2,2
44,16.8423083,73.5316138,6.573413647405464,2,2
45,16.8423083,73.5316138,6.573413647405464,2,2
46,16.8423083,73.5316138,4.2493690281650665,2,2
47,16.8421835,73.5320917,1.9253244089246675,2,2
48,16.8421835,73.5320917,1.9253244089246675,2,2
49,16.8421835,73.5320917,1.9253244089246675,2,2
50,16.8421835,73.5320917,1.9253244089246675,2,2
51,16.8421835,73.5320917,1.9253244089246675,2,2
52,16.8421835,73.5320917,4.619342194392855,2,2
53,16.8421835,73.5320917,7.368339934666512,2,2
54,16.8421433,73.5321923,7.423319889471985,2,2
55,16.8421433,73.5321923,7.423319889471985,2,2
56,16.8421433,73.5321923,7.423319889471985,2,2
57,16.8421433,73.5321923,7.423319889471985,2,2
58,16.8421433,73.5321923,7.423319889471985,2,2
59,16.8421433,73.5321923,7.423319889471985,2,2
60,16.8421433,73.5321923,7.423319889471985,2,2
61,16.8421433,73.5321923,4.733626753941693,2,2
62,16.8421433,73.5321923,1.9890419217679243,2,2
63,16.8418678,73.5327501,1.9341502251244491,2,2
64,16.8418678,73.5327501,1.9341502251244491,3,2
65,16.8418678,73.5327501,1.9341502251244491,3,2
66,16.8418678,73.5327501,1.9341502251244491,3,2
67,16.8418678,73.5327501,1.9341502251244491,3,2
68,16.8418678,73.5327501,1.9341502251244491,3,2
69,16.8418678,73.5327501,1.9341502251244491,3,2
70,16.8418678,73.5327501,2.210585845229831,3,2
71,16.8418678,73.5327501,2.4926630086026695,3,3
