,z_rms,Velocity,Label
0,9.080067438084578,4.991829771293612,1
1,9.124284558938163,4.991829771293612,1
2,9.50021318079309,4.991829771293612,1
3,9.200965565557986,6.449119167359595,1
4,9.305095317503856,6.449119167359595,1
5,9.332358727509813,6.449119167359595,1
6,9.2788881866107,6.449119167359595,1
7,9.259793477741894,6.449119167359595,1
8,9.215364230789884,5.720292880740817,1
9,9.339002606332844,4.505582403042856,1
10,9.256520667571632,4.019698211963673,1
11,9.195408260780566,4.019698211963673,1
12,9.28615628397863,4.019698211963673,1
13,9.31494187623668,4.019698211963673,1
14,9.260427243392128,4.019698211963673,1
15,9.123818399231816,4.019698211963673,1
16,9.159291517900407,3.6987821429553667,1
17,9.073545576391636,3.125717734011959,1
18,9.242547818852469,4.053868288579572,1
19,9.07365563039143,5.283346303686561,1
20,8.411920026861006,5.332525424290841,1
21,8.753998906307583,5.332525424290841,1
22,9.344910268612542,5.332525424290841,1
23,9.283219573120162,5.332525424290841,1
24,9.24698328513268,5.332525424290841,1
