,y_rms,Velocity
0,0.18847356200130974,0.23608414620684845
1,0.15352813118976985,0.23608414620684845
2,0.14775955351860448,1.0365869866869593
3,0.19058448958294036,2.5189996542427195
4,0.187545296249085,3.20090948131837
5,0.13839415515811795,3.20090948131837
6,0.4723609535214247,3.20090948131837
7,1.4139433605561886,3.20090948131837
8,1.5343816165365463,3.20090948131837
9,0.9322551861152557,3.20090948131837
10,0.8683861540860385,3.20090948131837
11,1.0053564945054603,3.20090948131837
12,1.156525068034812,3.20090948131837
13,1.2197087521966752,3.20090948131837
14,1.2867715499076298,3.20090948131837
15,1.441227514879419,3.20090948131837
16,1.2773296576225508,2.540542255026238
17,1.2354621889870885,1.5399858515533118
18,1.4130484608125469,1.1997966743725168
19,1.1996194425253843,1.1997966743725168
20,0.8545404161056274,1.1997966743725168
21,0.7434283504756135,1.1997966743725168
22,0.8967000202693896,1.1997966743725168
23,1.0155728534725064,1.1997966743725168
24,1.0218726800545206,1.1997966743725168
25,0.9352010683346251,1.1997966743725168
26,0.7735283788549786,1.1997966743725168
27,0.912397879008504,1.1997966743725168
28,1.1093281506329808,1.1997966743725168
29,0.9392870800340574,1.1997966743725168
30,0.629750659019604,1.1997966743725168
31,1.2033364768252515,2.1779688388993867
32,1.1684287768028532,3.536541289631152
33,0.6763365182932757,3.916941575836047
34,0.658212052949817,3.916941575836047
35,0.3309785479830428,3.916941575836047
36,0.5283779350502723,3.916941575836047
37,0.9200502253797893,3.916941575836047
38,1.322697682717045,3.916941575836047
39,1.8246961015274377,3.916941575836047
40,1.5926274301459413,3.916941575836047
41,0.6294386707328696,3.916941575836047
42,0.3600549469314166,3.916941575836047
43,0.7325007061329987,3.916941575836047
44,0.9605156891174497,2.8092150044566244
45,1.144038943288206,1.5127332887347615
46,1.0395042221957864,1.9316958758851805
47,0.7081318580249395,2.53941360737804
48,0.8088559710646273,2.53941360737804
49,0.7062195493547146,2.53941360737804
50,1.45094969184953,2.53941360737804
51,2.014551035460547,2.53941360737804
52,1.4465632488930837,2.53941360737804
53,0.2769985772035434,2.53941360737804
54,0.5859203121094574,2.53941360737804
55,0.7673183197875477,2.53941360737804
56,0.6351203793289317,2.53941360737804
57,0.7260077867910685,2.53941360737804
58,1.1292422303504606,2.53941360737804
59,1.3880605519501372,2.53941360737804
