Label,Time,Latitude,Longitude
1,2024-03-29 14:53:52:699,16.8650913,73.5686318
1,2024-03-29 14:53:52:971,16.8650913,73.5686318
1,2024-03-29 14:53:53:115,16.8650913,73.5686318
1,2024-03-29 14:53:53:197,16.8650913,73.5686318
1,2024-03-29 14:53:53:971,16.8650913,73.5686318
1,2024-03-29 14:53:54:115,16.8650913,73.5686318
1,2024-03-29 14:53:54:197,16.8650913,73.5686318
1,2024-03-29 14:53:54:971,16.8650913,73.5686318
1,2024-03-29 14:53:55:114,16.8650913,73.5686318
1,2024-03-29 14:53:55:197,16.8650913,73.5686318
1,2024-03-29 14:53:55:971,16.8650913,73.5686318
1,2024-03-29 14:53:56:116,16.8650913,73.5686318
1,2024-03-29 14:53:56:197,16.8651207,73.568678
1,2024-03-29 14:53:56:970,16.8651207,73.568678
1,2024-03-29 14:53:57:115,16.8651207,73.568678
1,2024-03-29 14:53:57:198,16.8651207,73.568678
1,2024-03-29 14:53:57:971,16.8651207,73.568678
1,2024-03-29 14:53:58:116,16.8651207,73.568678
1,2024-03-29 14:53:58:197,16.8651207,73.568678
1,2024-03-29 14:53:58:971,16.8651207,73.568678
1,2024-03-29 14:53:59:114,16.8651207,73.568678
1,2024-03-29 14:53:59:198,16.8651207,73.568678
1,2024-03-29 14:53:59:971,16.8651207,73.568678
1,2024-03-29 14:54:00:115,16.8651207,73.568678
1,2024-03-29 14:54:00:196,16.8651207,73.568678
1,2024-03-29 14:54:00:971,16.8651207,73.568678
1,2024-03-29 14:54:01:119,16.8651107,73.5686796
1,2024-03-29 14:54:01:197,16.8651107,73.5686796
1,2024-03-29 14:54:01:971,16.8651107,73.5686796
1,2024-03-29 14:54:02:116,16.8651107,73.5686796
1,2024-03-29 14:54:02:197,16.8651107,73.5686796
1,2024-03-29 14:54:02:971,16.8651107,73.5686796
1,2024-03-29 14:54:03:116,16.8651107,73.5686796
1,2024-03-29 14:54:03:197,16.8651107,73.5686796
1,2024-03-29 14:54:03:972,16.8651107,73.5686796
1,2024-03-29 14:54:04:115,16.8651107,73.5686796
1,2024-03-29 14:54:04:197,16.8651107,73.5686796
1,2024-03-29 14:54:04:972,16.8651107,73.5686796
1,2024-03-29 14:54:05:116,16.8651107,73.5686796
1,2024-03-29 14:54:05:196,16.8651107,73.5686796
1,2024-03-29 14:54:05:970,16.8652168,73.5687752
1,2024-03-29 14:54:06:115,16.8652168,73.5687752
1,2024-03-29 14:54:06:197,16.8652168,73.5687752
1,2024-03-29 14:54:06:972,16.8652168,73.5687752
1,2024-03-29 14:54:07:115,16.8652168,73.5687752
1,2024-03-29 14:54:07:197,16.8652168,73.5687752
1,2024-03-29 14:54:07:970,16.8652168,73.5687752
1,2024-03-29 14:54:08:116,16.8652168,73.5687752
1,2024-03-29 14:54:08:197,16.8652168,73.5687752
1,2024-03-29 14:54:08:971,16.8652168,73.5687752
1,2024-03-29 14:54:09:115,16.8652168,73.5687752
1,2024-03-29 14:54:09:197,16.8652168,73.5687752
1,2024-03-29 14:54:09:970,16.8652168,73.5687752
1,2024-03-29 14:54:10:115,16.8652168,73.5687752
1,2024-03-29 14:54:10:196,16.8652168,73.5687752
1,2024-03-29 14:54:10:970,16.8653792,73.5689616
1,2024-03-29 14:54:11:115,16.8653792,73.5689616
1,2024-03-29 14:54:11:197,16.8653792,73.5689616
1,2024-03-29 14:54:11:970,16.8653792,73.5689616
1,2024-03-29 14:54:12:115,16.8653792,73.5689616
1,2024-03-29 14:54:12:197,16.8653792,73.5689616
1,2024-03-29 14:54:12:972,16.8653792,73.5689616
1,2024-03-29 14:54:13:115,16.8653792,73.5689616
1,2024-03-29 14:54:13:198,16.8653792,73.5689616
1,2024-03-29 14:54:13:970,16.8653792,73.5689616
1,2024-03-29 14:54:14:115,16.8653792,73.5689616
1,2024-03-29 14:54:14:198,16.8653792,73.5689616
1,2024-03-29 14:54:14:972,16.8653792,73.5689616
1,2024-03-29 14:54:15:115,16.8653792,73.5689616
1,2024-03-29 14:54:15:198,16.8653792,73.5689616
1,2024-03-29 14:54:15:971,16.8653792,73.5689616
1,2024-03-29 14:54:16:115,16.8653792,73.5689616
1,2024-03-29 14:54:16:197,16.8657268,73.5693926
1,2024-03-29 14:54:16:972,16.8657268,73.5693926
1,2024-03-29 14:54:17:115,16.8657268,73.5693926
1,2024-03-29 14:54:17:197,16.8657268,73.5693926
1,2024-03-29 14:54:17:971,16.8657268,73.5693926
1,2024-03-29 14:54:18:116,16.8657268,73.5693926
1,2024-03-29 14:54:18:197,16.8657268,73.5693926
1,2024-03-29 14:54:18:971,16.8657268,73.5693926
1,2024-03-29 14:54:19:116,16.8657268,73.5693926
1,2024-03-29 14:54:19:197,16.8657268,73.5693926
1,2024-03-29 14:54:19:970,16.8657268,73.5693926
1,2024-03-29 14:54:20:116,16.8657268,73.5693926
1,2024-03-29 14:54:20:197,16.8657268,73.5693926
1,2024-03-29 14:54:20:971,16.8657268,73.5693926
1,2024-03-29 14:54:21:115,16.8657268,73.5693926
1,2024-03-29 14:54:21:196,16.865969,73.5697048
1,2024-03-29 14:54:21:971,16.865969,73.5697048
1,2024-03-29 14:54:22:115,16.865969,73.5697048
1,2024-03-29 14:54:22:196,16.865969,73.5697048
1,2024-03-29 14:54:22:971,16.865969,73.5697048
1,2024-03-29 14:54:23:115,16.865969,73.5697048
1,2024-03-29 14:54:23:197,16.865969,73.5697048
1,2024-03-29 14:54:23:972,16.865969,73.5697048
1,2024-03-29 14:54:24:115,16.865969,73.5697048
1,2024-03-29 14:54:24:198,16.865969,73.5697048
1,2024-03-29 14:54:24:971,16.865969,73.5697048
1,2024-03-29 14:54:25:116,16.865969,73.5697048
1,2024-03-29 14:54:25:197,16.865969,73.5697048
1,2024-03-29 14:54:25:970,16.865969,73.5697048
1,2024-03-29 14:54:26:115,16.865969,73.5697048
1,2024-03-29 14:54:26:197,16.8662269,73.5700396
1,2024-03-29 14:54:26:971,16.8662269,73.5700396
1,2024-03-29 14:54:27:116,16.8662269,73.5700396
1,2024-03-29 14:54:27:196,16.8662269,73.5700396
1,2024-03-29 14:54:27:973,16.8662269,73.5700396
1,2024-03-29 14:54:28:115,16.8662269,73.5700396
1,2024-03-29 14:54:28:197,16.8662269,73.5700396
1,2024-03-29 14:54:28:974,16.8662269,73.5700396
1,2024-03-29 14:54:29:116,16.8662269,73.5700396
1,2024-03-29 14:54:29:197,16.8662269,73.5700396
1,2024-03-29 14:54:29:972,16.8662269,73.5700396
1,2024-03-29 14:54:30:116,16.8662269,73.5700396
1,2024-03-29 14:54:30:197,16.8662269,73.5700396
1,2024-03-29 14:54:30:972,16.8662269,73.5700396
1,2024-03-29 14:54:31:115,16.8662269,73.5700396
1,2024-03-29 14:54:31:197,16.866482,73.5704009
1,2024-03-29 14:54:31:971,16.866482,73.5704009
1,2024-03-29 14:54:32:116,16.866482,73.5704009
1,2024-03-29 14:54:32:196,16.866482,73.5704009
1,2024-03-29 14:54:32:971,16.866482,73.5704009
1,2024-03-29 14:54:33:115,16.866482,73.5704009
1,2024-03-29 14:54:33:197,16.866482,73.5704009
1,2024-03-29 14:54:33:973,16.866482,73.5704009
1,2024-03-29 14:54:34:115,16.866482,73.5704009
1,2024-03-29 14:54:34:197,16.866482,73.5704009
1,2024-03-29 14:54:34:971,16.866482,73.5704009
1,2024-03-29 14:54:35:116,16.866482,73.5704009
1,2024-03-29 14:54:35:196,16.866482,73.5704009
1,2024-03-29 14:54:35:973,16.866482,73.5704009
1,2024-03-29 14:54:36:115,16.866482,73.5704009
1,2024-03-29 14:54:36:197,16.8666855,73.5708025
1,2024-03-29 14:54:36:971,16.8666855,73.5708025
1,2024-03-29 14:54:37:115,16.8666855,73.5708025
1,2024-03-29 14:54:37:235,16.8666855,73.5708025
1,2024-03-29 14:54:37:972,16.8666855,73.5708025
1,2024-03-29 14:54:38:116,16.8666855,73.5708025
1,2024-03-29 14:54:38:197,16.8666855,73.5708025
1,2024-03-29 14:54:38:971,16.8666855,73.5708025
1,2024-03-29 14:54:39:115,16.8666855,73.5708025
1,2024-03-29 14:54:39:197,16.8666855,73.5708025
1,2024-03-29 14:54:39:970,16.8666855,73.5708025
1,2024-03-29 14:54:40:116,16.8666855,73.5708025
1,2024-03-29 14:54:40:197,16.8666855,73.5708025
1,2024-03-29 14:54:40:971,16.8666855,73.5708025
1,2024-03-29 14:54:41:115,16.8666855,73.5708025
1,2024-03-29 14:54:41:198,16.8668406,73.5712225
1,2024-03-29 14:54:41:971,16.8668406,73.5712225
1,2024-03-29 14:54:42:115,16.8668406,73.5712225
1,2024-03-29 14:54:42:197,16.8668406,73.5712225
1,2024-03-29 14:54:42:970,16.8668406,73.5712225
1,2024-03-29 14:54:43:115,16.8668406,73.5712225
1,2024-03-29 14:54:43:197,16.8668406,73.5712225
1,2024-03-29 14:54:43:971,16.8668406,73.5712225
1,2024-03-29 14:54:44:116,16.8668406,73.5712225
1,2024-03-29 14:54:44:197,16.8668406,73.5712225
1,2024-03-29 14:54:44:971,16.8668406,73.5712225
1,2024-03-29 14:54:45:116,16.8668406,73.5712225
1,2024-03-29 14:54:45:197,16.8668406,73.5712225
1,2024-03-29 14:54:45:971,16.8668406,73.5712225
1,2024-03-29 14:54:46:116,16.8668406,73.5712225
1,2024-03-29 14:54:46:197,16.8669923,73.5716368
1,2024-03-29 14:54:46:971,16.8669923,73.5716368
1,2024-03-29 14:54:47:115,16.8669923,73.5716368
1,2024-03-29 14:54:47:197,16.8669923,73.5716368
1,2024-03-29 14:54:47:973,16.8669923,73.5716368
1,2024-03-29 14:54:48:115,16.8669923,73.5716368
1,2024-03-29 14:54:48:196,16.8669923,73.5716368
1,2024-03-29 14:54:48:972,16.8669923,73.5716368
1,2024-03-29 14:54:49:115,16.8669923,73.5716368
1,2024-03-29 14:54:49:196,16.8669923,73.5716368
1,2024-03-29 14:54:49:971,16.8669923,73.5716368
1,2024-03-29 14:54:50:115,16.8669923,73.5716368
1,2024-03-29 14:54:50:197,16.8669923,73.5716368
1,2024-03-29 14:54:50:970,16.8669923,73.5716368
1,2024-03-29 14:54:51:116,16.8669923,73.5716368
1,2024-03-29 14:54:51:197,16.8671653,73.5720283
1,2024-03-29 14:54:51:971,16.8671653,73.5720283
1,2024-03-29 14:54:52:115,16.8671653,73.5720283
1,2024-03-29 14:54:52:197,16.8671653,73.5720283
1,2024-03-29 14:54:52:972,16.8671653,73.5720283
1,2024-03-29 14:54:53:115,16.8671653,73.5720283
1,2024-03-29 14:54:53:197,16.8671653,73.5720283
1,2024-03-29 14:54:53:971,16.8671653,73.5720283
1,2024-03-29 14:54:54:115,16.8671653,73.5720283
1,2024-03-29 14:54:54:197,16.8671653,73.5720283
1,2024-03-29 14:54:54:971,16.8671653,73.5720283
1,2024-03-29 14:54:55:116,16.8671653,73.5720283
1,2024-03-29 14:54:55:197,16.8671653,73.5720283
1,2024-03-29 14:54:55:971,16.8671653,73.5720283
1,2024-03-29 14:54:56:116,16.8671653,73.5720283
