"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711707004713202E9,"2024-03-29 15:40:04.713 UTC+05:30"
"PAUSE",2.226826014583348E2,1.711707227393616E9,"2024-03-29 15:43:47.394 UTC+05:30"
