"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711707893154255E9,"2024-03-29 15:54:53.154 UTC+05:30"
"PAUSE",4.113851971249969E2,1.711708304540644E9,"2024-03-29 16:01:44.541 UTC+05:30"
