"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711707636699749E9,"2024-03-29 15:50:36.700 UTC+05:30"
"PAUSE",3.328187508333940E1,1.711707669981081E9,"2024-03-29 15:51:09.981 UTC+05:30"
"START",3.328187508333940E1,1.711707838252914E9,"2024-03-29 15:53:58.253 UTC+05:30"
"PAUSE",3.418124883333803E1,1.711707839152289E9,"2024-03-29 15:53:59.152 UTC+05:30"
