"event","experiment time","system time","system time text"
"START",0.000000000E0,1711707606.750,"2024-03-29 15:50:06.750 UTC+05:30"
"PAUSE",1.410659052E3,1711709017.409,"2024-03-29 16:13:37.409 UTC+05:30"
