"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711707270663977E9,"2024-03-29 15:44:30.664 UTC+05:30"
"PAUSE",1.042756069166644E2,1.711707374940051E9,"2024-03-29 15:46:14.940 UTC+05:30"
