"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.741415566E1,1.687422331E1,7.362315529E1,1.784655543E2,3.619999886E0,2.246000061E2,4.288000107E0,6.000000000E0
4.841695675E1,1.687419872E1,7.362313653E1,1.803654644E2,3.230000019E0,2.218000031E2,4.288000107E0,6.000000000E0
4.941710941E1,1.687417470E1,7.362312392E1,1.806185861E2,2.809999943E0,2.155000000E2,4.288000107E0,4.000000000E0
5.041862061E1,1.687414877E1,7.362311425E1,1.811837271E2,3.170000076E0,2.080000000E2,3.216000080E0,4.000000000E0
5.141184941E1,1.687411856E1,7.362310499E1,1.820633961E2,3.460000038E0,2.020000000E2,3.216000080E0,4.000000000E0
5.241484837E1,1.687409025E1,7.362310332E1,1.803710414E2,2.839999914E0,1.946999969E2,4.288000107E0,4.000000000E0
5.341396764E1,1.687406457E1,7.362310557E1,1.797553405E2,2.740000010E0,1.875000000E2,3.216000080E0,4.000000000E0
5.441976894E1,1.687403761E1,7.362311357E1,1.797669048E2,3.079999924E0,1.751000061E2,4.288000107E0,4.000000000E0
5.541499363E1,1.687400914E1,7.362312258E1,1.804104935E2,3.059999943E0,1.716000061E2,4.288000107E0,4.000000000E0
5.642007743E1,1.687398035E1,7.362313202E1,1.794581361E2,3.279999971E0,1.691000061E2,3.216000080E0,4.000000000E0
5.741325967E1,1.687394994E1,7.362314414E1,1.779439566E2,3.650000095E0,1.676000061E2,3.216000080E0,4.000000000E0
5.841145279E1,1.687391094E1,7.362315971E1,1.783180508E2,4.849999905E0,1.643000031E2,3.216000080E0,4.000000000E0
5.941255050E1,1.687386069E1,7.362319916E1,1.777898490E2,5.550000191E0,1.631999969E2,3.216000080E0,4.000000000E0
6.041584649E1,1.687380859E1,7.362319490E1,1.772815896E2,6.110000134E0,1.653999939E2,3.216000080E0,4.000000000E0
6.141173076E1,1.687375968E1,7.362319851E1,1.761481409E2,6.070000172E0,1.698999939E2,3.216000080E0,4.000000000E0
6.241381810E1,1.687371352E1,7.362320023E1,1.764956396E2,5.219999790E0,1.761000061E2,3.216000080E0,4.000000000E0
6.341245685E1,1.687368361E1,7.362319501E1,1.768306930E2,3.660000086E0,1.776000061E2,3.216000080E0,4.000000000E0
6.441158669E1,1.687367608E1,7.362319702E1,1.770550221E2,1.379999995E0,1.795000000E2,3.216000080E0,4.000000000E0
6.542887123E1,1.687367604E1,7.362319331E1,1.772695589E2,4.600000083E-1,1.795000000E2,3.216000080E0,4.000000000E0
6.634603773E1,1.686383970E1,7.359713800E1,NaN,NaN,NaN,3.400000000E3,0.000000000E0
6.916157247E1,1.687395220E1,7.362325131E1,1.618968842E2,1.779999971E0,3.566000061E2,2.144000053E1,2.400000000E1
7.013652159E1,1.687396499E1,7.362315369E1,1.700666553E2,3.099999905E0,3.516000061E2,1.500800037E1,2.400000000E1
7.114083258E1,1.687399860E1,7.362315583E1,1.693369353E2,4.139999866E0,3.457999878E2,8.576000214E0,1.200000000E1
7.213545601E1,1.687402425E1,7.362320801E1,1.673568995E2,4.380000114E0,3.492999878E2,6.432000160E0,8.000000000E0
7.313504914E1,1.687405389E1,7.362317739E1,1.692623685E2,3.950000048E0,3.492000122E2,6.432000160E0,8.000000000E0
7.413815075E1,1.687408724E1,7.362317553E1,1.679681942E2,3.670000076E0,3.578999939E2,5.360000134E0,8.000000000E0
7.513754961E1,1.687412081E1,7.362316356E1,1.692357207E2,3.900000095E0,3.447999878E2,4.288000107E0,6.000000000E0
7.613357231E1,1.687415078E1,7.362315259E1,1.718149046E2,3.140000105E0,3.536000061E2,5.360000134E0,6.000000000E0
7.713794940E1,1.687417621E1,7.362314112E1,1.751406237E2,3.069999933E0,3.542999878E2,4.288000107E0,6.000000000E0
7.813634768E1,1.687420139E1,7.362313280E1,1.769133666E2,3.160000086E0,4.300000191E0,4.288000107E0,6.000000000E0
7.915054513E1,1.687422617E1,7.362313151E1,1.762710753E2,3.210000038E0,1.219999981E1,4.288000107E0,4.000000000E0
8.014207117E1,1.687424805E1,7.362313296E1,1.763018902E2,2.740000010E0,1.639999962E1,4.288000107E0,4.000000000E0
8.113389148E1,1.687427021E1,7.362313847E1,1.781408729E2,3.329999924E0,2.139999962E1,3.216000080E0,4.000000000E0
8.214026476E1,1.687429422E1,7.362314935E1,1.784564148E2,3.200000048E0,2.450000000E1,3.216000080E0,4.000000000E0
8.315126658E1,1.687431610E1,7.362316394E1,1.777280811E2,3.039999962E0,3.100000000E1,3.216000080E0,4.000000000E0
8.414088445E1,1.687433661E1,7.362318193E1,1.769211402E2,3.160000086E0,3.500000000E1,3.216000080E0,4.000000000E0
8.513903731E1,1.687435953E1,7.362320962E1,1.771149289E2,4.139999866E0,4.359999847E1,3.216000080E0,4.000000000E0
8.615428606E1,1.687438491E1,7.362324329E1,1.773489350E2,4.500000000E0,4.800000000E1,3.216000080E0,4.000000000E0
8.714538268E1,1.687440953E1,7.362328199E1,1.758666374E2,4.719999790E0,5.100000000E1,3.216000080E0,6.000000000E0
8.813772544E1,1.687443245E1,7.362332027E1,1.760455999E2,4.210000038E0,4.900000000E1,3.216000080E0,4.000000000E0
8.913863642E1,1.687445523E1,7.362335469E1,1.767180912E2,4.150000095E0,4.790000153E1,3.216000080E0,4.000000000E0
9.013870668E1,1.687448242E1,7.362338615E1,1.770523712E2,4.489999771E0,4.320000076E1,3.216000080E0,4.000000000E0
9.114535168E1,1.687451209E1,7.362341226E1,1.775099927E2,4.110000134E0,3.779999924E1,3.216000080E0,4.000000000E0
9.213460429E1,1.687454025E1,7.362343287E1,1.778878432E2,3.799999952E0,3.390000153E1,3.216000080E0,4.000000000E0
9.314061668E1,1.687456994E1,7.362345322E1,1.785442532E2,4.159999847E0,3.270000076E1,3.216000080E0,4.000000000E0
9.414465418E1,1.687459924E1,7.362347418E1,1.794855158E2,3.859999895E0,3.379999924E1,4.288000107E0,4.000000000E0
9.514630569E1,1.687462798E1,7.362349307E1,1.797331757E2,3.740000010E0,3.340000153E1,4.288000107E0,4.000000000E0
9.613377491E1,1.687465700E1,7.362351586E1,1.798892228E2,4.059999943E0,3.440000153E1,3.216000080E0,4.000000000E0
9.713476252E1,1.687468507E1,7.362354264E1,1.815358145E2,3.890000105E0,3.990000153E1,3.216000080E0,3.000000000E0
9.814291340E1,1.687470725E1,7.362356877E1,1.812632962E2,3.609999895E0,4.640000153E1,3.216000080E0,3.000000000E0
9.913622350E1,1.687472639E1,7.362359708E1,1.810966237E2,3.609999895E0,5.229999924E1,3.216000080E0,4.000000000E0
1.001388584E2,1.687474185E1,7.362362656E1,1.815991528E2,3.420000076E0,5.390000153E1,3.216000080E0,4.000000000E0
1.011407740E2,1.687475598E1,7.362365689E1,1.800886251E2,3.589999914E0,5.420000076E1,3.216000080E0,4.000000000E0
1.021346566E2,1.687477254E1,7.362369189E1,1.804994177E2,4.380000114E0,5.629999924E1,3.216000080E0,4.000000000E0
1.031395286E2,1.687479375E1,7.362372792E1,1.803863313E2,4.340000153E0,5.270000076E1,3.216000080E0,4.000000000E0
1.041443861E2,1.687482258E1,7.362376010E1,1.802719980E2,4.900000095E0,3.540000153E1,3.216000080E0,4.000000000E0
1.051434111E2,1.687485447E1,7.362378734E1,1.800533434E2,4.280000210E0,3.920000076E1,3.216000080E0,3.000000000E0
1.061402633E2,1.687488687E1,7.362381185E1,1.798443294E2,4.559999943E0,3.800000000E1,3.216000080E0,3.000000000E0
1.071377313E2,1.687491814E1,7.362383633E1,1.810886881E2,4.090000153E0,3.870000076E1,3.216000080E0,3.000000000E0
1.081367601E2,1.687494410E1,7.362385767E1,1.813830499E2,3.400000095E0,3.809999847E1,3.216000080E0,4.000000000E0
1.091470313E2,1.687496752E1,7.362387627E1,1.812540176E2,3.440000057E0,3.620000076E1,3.216000080E0,4.000000000E0
1.101484641E2,1.687499130E1,7.362389348E1,1.803917070E2,3.430000067E0,3.300000000E1,3.216000080E0,3.000000000E0
1.111436780E2,1.687501522E1,7.362390746E1,1.802523557E2,2.950000048E0,2.800000000E1,3.216000080E0,3.000000000E0
1.121444768E2,1.687503837E1,7.362391475E1,1.796394318E2,2.799999952E0,1.580000019E1,3.216000080E0,3.000000000E0
1.131412075E2,1.687506293E1,7.362391416E1,1.802750957E2,2.869999886E0,1.899999976E0,3.216000080E0,3.000000000E0
1.141343614E2,1.687508976E1,7.362390465E1,1.802607234E2,3.240000010E0,3.471000061E2,3.216000080E0,4.000000000E0
1.151356713E2,1.687511605E1,7.362388398E1,1.800927827E2,3.450000048E0,3.325000000E2,3.216000080E0,4.000000000E0
1.161376389E2,1.687513962E1,7.362385895E1,1.796956616E2,3.119999886E0,3.232000122E2,3.216000080E0,4.000000000E0
1.171340032E2,1.687515815E1,7.362383313E1,1.798410365E2,2.900000095E0,3.147999878E2,3.216000080E0,3.000000000E0
1.181423887E2,1.687517200E1,7.362380997E1,1.793715594E2,2.369999886E0,3.127000122E2,3.216000080E0,3.000000000E0
1.191366677E2,1.687518139E1,7.362379284E1,1.788317871E2,1.730000019E0,3.100000000E2,3.216000080E0,3.000000000E0
1.201400147E2,1.687518812E1,7.362378307E1,1.771410259E2,1.240000010E0,3.100000000E2,3.216000080E0,4.000000000E0
1.211397845E2,1.687519405E1,7.362377821E1,1.768527966E2,9.499999881E-1,3.102000122E2,4.288000107E0,4.000000000E0
