"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.012869079E0,1.217946768E0,7.125825882E0,6.329015732E0
2.033743102E0,1.165304661E0,7.140182972E0,6.343372822E0
2.054556091E0,1.167697430E0,7.147361279E0,6.317051888E0
2.075369079E0,1.162911773E0,7.111468792E0,6.333801746E0
2.096212585E0,1.184447169E0,7.104290485E0,6.345765591E0
2.117086608E0,1.162911773E0,7.094718933E0,6.357729912E0
2.137930114E0,1.170090318E0,7.070790768E0,6.386443615E0
2.158773620E0,1.179661512E0,7.089933395E0,6.393621922E0
2.179586608E0,1.215553880E0,7.030112743E0,6.379265308E0
2.200430114E0,1.225125194E0,7.027719975E0,6.393621922E0
2.221273620E0,1.124626637E0,7.192824841E0,6.295516491E0
2.242117126E0,1.208375454E0,7.240681171E0,6.336194515E0
2.262960632E0,1.153340459E0,7.166503906E0,6.427121639E0
2.283804138E0,1.196411371E0,7.140182972E0,6.312266350E0
2.304647643E0,1.215553880E0,7.118647575E0,6.305087566E0
2.325491149E0,1.213161111E0,7.044469833E0,6.419943333E0
2.346334655E0,1.208375454E0,7.066005230E0,6.417550564E0
2.367178161E0,1.229910851E0,7.032505512E0,6.288337708E0
2.388052185E0,1.296909928E0,7.042077065E0,6.307480335E0
2.408895690E0,1.280160069E0,7.068397999E0,6.295516491E0
2.429739196E0,1.275374413E0,7.152146816E0,6.271588326E0
2.450582702E0,1.134197950E0,7.147361279E0,6.276373863E0
2.471426208E0,1.057627559E0,7.202396393E0,6.257231236E0
2.492269714E0,9.571290612E-1,7.233502865E0,6.273981094E0
2.513082702E0,9.499505758E-1,7.226324558E0,6.355337143E0
2.533926208E0,9.762716293E-1,7.192824841E0,6.374479294E0
2.554769714E0,1.076770186E0,7.164111137E0,6.340980053E0
2.575613220E0,1.136590719E0,7.075576782E0,6.369693756E0
2.596456726E0,1.177268744E0,7.018148899E0,6.419943333E0
2.617269714E0,1.220339537E0,7.044469833E0,6.400800705E0
2.638113220E0,1.184447169E0,7.049255371E0,6.352943897E0
2.658956726E0,1.127019525E0,7.070790768E0,6.319444656E0
2.679800231E0,1.093519926E0,7.161718369E0,6.338587284E0
2.700613220E0,1.064806104E0,7.195217609E0,6.336194515E0
2.721456726E0,1.086341500E0,7.161718369E0,6.340980053E0
2.742300231E0,1.062413216E0,7.137789726E0,6.357729912E0
2.763143737E0,1.052842021E0,7.147361279E0,6.393621922E0
2.783987243E0,1.064806104E0,7.092326164E0,6.427121639E0
2.804830749E0,1.081555843E0,7.049255371E0,6.357729912E0
2.825674255E0,1.067198873E0,7.063612461E0,6.283552170E0
2.846487243E0,1.071984529E0,7.121040344E0,6.271588326E0
2.867330749E0,1.074377418E0,7.178467751E0,6.273981094E0
2.888143737E0,1.100698471E0,7.180860519E0,6.388836384E0
2.908987243E0,1.134197950E0,7.178467751E0,6.568298340E0
2.929830749E0,1.098305583E0,7.152146816E0,6.494120598E0
2.950674255E0,1.165304661E0,7.058826923E0,6.412764549E0
2.971517761E0,1.225125194E0,6.958328247E0,6.453442574E0
2.992330749E0,1.280160069E0,6.989434719E0,6.446264267E0
3.013174255E0,1.258624673E0,7.089933395E0,6.415157318E0
3.033987243E0,1.213161111E0,7.044469833E0,6.372086525E0
3.054830749E0,1.205982566E0,7.085147858E0,6.355337143E0
3.075643737E0,1.136590719E0,7.219145775E0,6.281159401E0
3.096487243E0,1.184447169E0,7.243073940E0,6.336194515E0
3.117330749E0,1.138983607E0,7.166503906E0,6.343372822E0
3.138174255E0,1.210768223E0,7.147361279E0,6.230910301E0
3.158987243E0,1.189232826E0,7.116254330E0,6.312266350E0
3.179800231E0,1.213161111E0,7.099504948E0,6.400800705E0
3.200643737E0,1.182054400E0,7.094718933E0,6.405586243E0
3.221456726E0,1.170090318E0,7.051648140E0,6.403193474E0
3.242300231E0,1.205982566E0,7.049255371E0,6.396014690E0
3.263113220E0,1.225125194E0,7.149754047E0,6.348158360E0
3.283956726E0,1.196411371E0,7.142575741E0,6.348158360E0
3.304769714E0,1.184447169E0,7.099504948E0,6.360122681E0
3.325613220E0,1.153340459E0,7.092326164E0,6.319444656E0
3.346426208E0,1.182054400E0,7.080362320E0,6.317051888E0
3.367239196E0,1.158126116E0,7.070790768E0,6.434299946E0
3.388082702E0,1.119840980E0,7.077969551E0,6.398407936E0
3.408926208E0,1.129412293E0,7.125825882E0,6.321837425E0
3.429739196E0,1.146162033E0,7.178467751E0,6.379265308E0
3.450552185E0,1.138983607E0,7.166503906E0,6.357729912E0
3.471395690E0,1.150947690E0,7.118647575E0,6.329015732E0
3.492208679E0,1.158126116E0,7.097112179E0,6.305087566E0
3.513052185E0,1.148554921E0,7.125825882E0,6.343372822E0
3.533895690E0,1.100698471E0,7.101897717E0,6.403193474E0
3.554769714E0,1.091127157E0,7.077969551E0,6.396014690E0
3.575582702E0,1.088734269E0,7.077969551E0,6.364908218E0
3.596426208E0,1.103091240E0,7.125825882E0,6.367300987E0
3.617239196E0,1.110269666E0,7.109076023E0,6.367300987E0
3.638082702E0,1.100698471E0,7.116254330E0,6.343372822E0
3.658895690E0,1.127019525E0,7.109076023E0,6.398407936E0
3.679739196E0,1.103091240E0,7.125825882E0,6.403193474E0
3.700582702E0,1.100698471E0,7.142575741E0,6.329015732E0
3.721426208E0,1.052842021E0,7.087540627E0,6.364908218E0
3.742239196E0,1.036092162E0,7.075576782E0,6.427121639E0
3.763082702E0,1.112662554E0,7.097112179E0,6.360122681E0
3.783895690E0,1.112662554E0,7.087540627E0,6.360122681E0
3.804739196E0,1.110269666E0,7.087540627E0,6.391229153E0
3.825552185E0,1.158126116E0,7.085147858E0,6.352943897E0
3.846365173E0,1.127019525E0,7.080362320E0,6.384050846E0
3.867208679E0,1.155733347E0,7.020541668E0,6.393621922E0
3.888052185E0,1.220339537E0,6.963113785E0,6.405586243E0
3.908865173E0,1.194018483E0,7.018148899E0,6.415157318E0
3.929678161E0,1.213161111E0,7.130611420E0,6.319444656E0
3.950521667E0,1.136590719E0,7.133004189E0,6.333801746E0
3.971365173E0,1.100698471E0,7.192824841E0,6.285944939E0
3.992178161E0,1.016949654E0,7.252645493E0,6.264409542E0
4.013021667E0,8.925228715E-1,7.243073940E0,6.333801746E0
4.033834655E0,9.690931439E-1,7.190432072E0,6.369693756E0
4.054678161E0,9.355936646E-1,7.178467751E0,6.372086525E0
4.075491149E0,1.002592683E0,7.049255371E0,6.415157318E0
4.096304138E0,9.786644578E-1,6.982256413E0,6.496513367E0
4.117147643E0,1.115055323E0,7.013363361E0,6.491727829E0
4.137991149E0,1.138983607E0,7.046862602E0,6.467799664E0
4.158834655E0,1.091127157E0,7.008577347E0,6.489335060E0
4.179647643E0,1.055234790E0,7.039684296E0,6.506084919E0
4.200491149E0,1.033699393E0,7.008577347E0,6.448657036E0
4.221304138E0,9.858429432E-1,7.051648140E0,6.503692150E0
4.242147643E0,1.060020447E0,6.999006271E0,6.477370739E0
4.262960632E0,1.062413216E0,7.013363361E0,6.422336102E0
4.283773620E0,1.143769264E0,7.125825882E0,6.381658077E0
4.304617126E0,1.112662554E0,7.156932354E0,6.266802311E0
4.325430114E0,1.052842021E0,7.154539585E0,6.238088608E0
4.346273620E0,1.014556766E0,7.257431030E0,6.247660160E0
4.367086608E0,9.212366939E-1,7.269395351E0,6.195017815E0
4.387899597E0,8.733802438E-1,7.250252724E0,6.360122681E0
4.408743102E0,7.896314859E-1,7.228717327E0,6.443871498E0
4.429556091E0,8.135597110E-1,7.200003147E0,6.345765591E0
4.450399597E0,6.915257573E-1,7.140182972E0,6.482156754E0
4.471212585E0,7.274180651E-1,7.006184578E0,6.539584160E0
4.492056091E0,6.388836503E-1,7.214360237E0,6.726224422E0
4.512869079E0,8.279166222E-1,7.228717327E0,6.544369698E0
4.533712585E0,7.561319470E-1,7.073183537E0,6.415157318E0
4.554556091E0,8.183453679E-1,7.070790768E0,6.525227547E0
4.575369079E0,7.728816867E-1,7.283751965E0,6.465406895E0
4.596212585E0,8.183453679E-1,7.276573658E0,6.606583118E0
4.617025573E0,9.116654396E-1,7.010970116E0,6.539584160E0
4.637869079E0,8.374879360E-1,7.039684296E0,6.319444656E0
4.658682067E0,8.685946465E-1,7.106683254E0,6.446264267E0
4.679525573E0,7.992027402E-1,7.140182972E0,6.580262184E0
4.700338561E0,8.303094506E-1,7.142575741E0,6.446264267E0
4.721151550E0,8.829515576E-1,7.161718369E0,6.486942291E0
4.741995056E0,9.332008362E-1,7.125825882E0,6.463014126E0
4.762808044E0,9.547362328E-1,7.099504948E0,6.312266350E0
4.783651550E0,9.571290612E-1,7.085147858E0,6.393621922E0
4.804464538E0,9.308080077E-1,7.140182972E0,6.372086525E0
4.825277526E0,9.427721500E-1,7.221538544E0,6.293123722E0
4.846121032E0,9.020941257E-1,7.243073940E0,6.285944939E0
4.866934020E0,8.709874153E-1,7.204789162E0,6.305087566E0
4.887777526E0,9.164510965E-1,7.173682213E0,6.355337143E0
4.908590515E0,8.374879360E-1,7.142575741E0,6.465406895E0
4.929434020E0,9.092726111E-1,7.118647575E0,6.518048763E0
4.950247009E0,9.930213690E-1,7.118647575E0,6.417550564E0
4.971090515E0,1.067198873E0,7.066005230E0,6.439085960E0
4.991903503E0,1.009771109E0,7.020541668E0,6.486942291E0
5.012747009E0,9.906286001E-1,7.037291527E0,6.518048763E0
5.033559997E0,9.523434043E-1,7.051648140E0,6.541976929E0
5.054403503E0,9.858429432E-1,7.049255371E0,6.501298904E0
5.075216491E0,1.016949654E0,7.058826923E0,6.427121639E0
5.096029479E0,1.052842021E0,7.061219692E0,6.407979012E0
5.116872985E0,1.045663476E0,7.044469833E0,6.400800705E0
5.137685974E0,1.050449133E0,7.087540627E0,6.393621922E0
5.158498962E0,1.076770186E0,7.121040344E0,6.362515450E0
