"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.644666682E-3,1.196012878E-1,1.899400177E0,1.028975235E1
2.454666668E-2,9.310638428E-2,1.779050446E0,1.142454254E1
4.444966669E-2,6.768923950E-1,1.284329224E0,7.604935455E0
6.435166669E-2,2.115101624E-1,2.069895630E0,1.000818787E1
8.425466667E-2,4.730163574E-1,2.127675476E0,9.734856262E0
1.041566667E-1,3.059637451E-1,1.882635040E0,9.000633087E0
1.240596667E-1,4.120930481E-1,1.750160522E0,9.693691864E0
1.439616667E-1,7.457492065E-1,1.832040253E0,9.080866241E0
1.638646667E-1,3.767665100E-1,8.470884705E-1,8.809929657E0
1.837666667E-1,6.574328613E-1,2.743195496E0,9.991123352E0
2.036696667E-1,-2.417472839E-1,1.701811066E0,7.403753815E0
2.235716667E-1,4.742138672E-1,2.579136658E0,1.164114212E1
2.434746667E-1,5.336402893E-1,9.626481628E-1,6.589596863E0
2.633766667E-1,-1.445993042E-1,1.739682312E0,1.208122696E1
2.832796667E-1,7.300318909E-1,2.444865875E0,8.817563782E0
3.031816667E-1,3.975732422E-1,2.028731232E0,9.264833679E0
3.230846667E-1,-1.056802368E-1,2.988984375E0,1.184876038E1
3.429866667E-1,2.204914856E-1,7.699987793E-1,6.907236328E0
3.628896667E-1,-1.266366577E-1,2.284100189E0,1.196282318E1
3.827916667E-1,-3.803590393E-1,1.691332855E0,8.303233337E0
4.026946667E-1,4.361929321E-1,2.162103882E0,1.118294495E1
4.225966667E-1,-3.652404785E-2,2.205363922E0,1.029603928E1
4.424996667E-1,1.133143616E-1,1.845661926E0,1.037971527E1
4.624016667E-1,7.358697510E-1,1.943109283E0,9.225914612E0
4.823046667E-1,-2.005828857E-2,3.098556519E0,1.088147186E1
5.022066667E-1,3.436853027E-1,1.588796082E0,9.179960175E0
5.221096667E-1,-1.320254517E-1,3.334016876E0,1.031729507E1
5.420116667E-1,-1.202000427E-1,6.141728210E-1,8.409362640E0
5.619146667E-1,3.158432007E-2,2.735411682E0,9.812395020E0
5.818167917E-1,8.852590942E-1,2.028132477E0,1.076172089E1
6.017197917E-1,-8.801696777E-2,2.695744171E0,7.122039642E0
6.216217917E-1,-5.043013000E-1,1.837279358E0,1.319236633E1
6.415247917E-1,5.989045715E-1,1.750160522E0,5.815406799E0
6.614267917E-1,8.936416626E-2,7.771838379E-1,1.250664230E1
6.813297917E-1,8.442443848E-2,3.174748077E0,9.756561127E0
7.012317917E-1,1.595681763E-1,1.846859436E0,7.935298462E0
7.211347917E-1,3.647914124E-1,1.961670685E0,1.320583832E1
7.410367917E-1,5.294490051E-1,1.450184326E0,8.220455475E0
7.609397917E-1,-2.290237427E-2,2.268233185E0,9.059161377E0
7.808417917E-1,4.385879517E-2,2.636018372E0,1.168380341E1
8.007447917E-1,-9.565109253E-2,1.712738342E0,8.041128387E0
8.206467917E-1,3.299139404E-1,1.605411530E0,1.043300446E1
8.405497917E-1,2.426454163E-1,1.631157990E0,9.067693634E0
8.604517917E-1,-2.574645996E-1,1.902992706E0,7.793692932E0
8.803547917E-1,5.285508728E-1,2.774929504E0,1.114761841E1
9.002567917E-1,-1.407073975E-1,1.141077118E0,7.825277252E0
9.201597917E-1,2.318678284E-1,1.574575653E0,1.066038162E1
9.400617917E-1,-5.284011841E-2,1.929337921E0,9.067693634E0
9.599637917E-1,-9.654922485E-2,1.780397644E0,8.339008942E0
9.798667917E-1,-4.595443726E-2,3.392844543E0,1.198482742E1
9.997687917E-1,4.703219604E-1,1.038240967E0,6.975943451E0
1.019671792E0,-2.197430420E-1,1.648970947E0,1.016730698E1
1.039573792E0,-5.448669434E-2,1.817969513E0,9.571545868E0
1.059476792E0,4.147874451E-1,1.683998108E0,9.039701843E0
1.079378792E0,7.044351196E-1,2.052980804E0,1.016027161E1
1.099281792E0,-6.990463257E-2,9.223818970E-1,9.633516998E0
1.119183792E0,5.266049194E-1,2.424957275E0,7.716453552E0
1.139086792E0,7.020401001E-2,2.816542969E0,1.177316757E1
1.158988792E0,6.010002136E-1,2.009720764E0,7.768545227E0
1.178891792E0,-7.423063660E-1,1.976938934E0,1.089075256E1
1.198793792E0,4.159849548E-1,1.368603973E0,9.255702667E0
1.218696792E0,-3.007246399E-1,1.998494110E0,8.333470459E0
1.238598792E0,-9.355545044E-2,2.403252411E0,1.318098999E1
1.258501792E0,4.056564331E-1,2.126627655E0,5.805227966E0
1.278403792E0,-7.824229431E-1,1.844165039E0,1.256696686E1
1.298306792E0,1.785786438E-1,2.586770782E0,8.402776337E0
1.318208792E0,2.658471680E-1,1.421593781E0,1.028556107E1
1.338111792E0,-1.023870850E-1,2.849025421E0,1.120479950E1
1.358013792E0,-5.463638306E-2,1.258133698E0,7.171436920E0
1.377916792E0,-4.032614136E-1,2.141147461E0,1.034992722E1
1.397818792E0,7.858657837E-1,2.878813477E0,1.008842102E1
1.417721792E0,-2.028282166E-1,1.960922241E0,8.354576569E0
1.437623792E0,2.065704346E-1,2.354902954E0,1.013736923E1
1.457526792E0,2.441423035E-1,1.423090668E0,9.912087708E0
1.477428792E0,-3.951782227E-2,1.624871063E0,8.374634857E0
1.497331792E0,2.258802795E-1,3.123255157E0,1.095676529E1
1.517233792E0,-9.291178894E-1,4.463717651E-1,8.362210693E0
1.537136792E0,8.096662903E-1,1.856589203E0,9.234895935E0
1.557038792E0,7.878117371E-1,2.308349762E0,1.101723953E1
1.576943083E0,-1.122665405E-1,1.764979706E0,8.176746368E0
1.596845083E0,3.779640198E-1,2.107018433E0,1.097936829E1
1.616748083E0,1.856140137E-1,1.627715149E0,7.921377411E0
1.636650083E0,8.372090149E-1,1.775008850E0,9.892478485E0
1.656553083E0,-4.749623108E-1,3.359613647E0,1.064256866E1
1.676455083E0,4.327500916E-1,1.615290985E0,7.953560486E0
1.696358083E0,-9.699829102E-2,1.893262939E0,1.133368149E1
1.716260083E0,7.505392456E-1,1.808389435E0,9.310488739E0
1.736162083E0,1.947450256E-1,1.536255341E0,8.394992523E0
1.756065083E0,3.749702454E-1,2.255359955E0,9.727222137E0
1.775967083E0,8.158035278E-2,8.592132568E-1,9.093739471E0
1.795870083E0,1.186582489E0,1.432521057E0,7.221582642E0
1.815772083E0,5.593867493E-1,3.091072083E0,1.284014877E1
1.835675083E0,1.106199646E-1,1.492695923E0,6.885232086E0
1.855577083E0,5.676196289E-1,1.930535431E0,1.108834167E1
1.875480083E0,7.203021240E-1,2.164648590E0,9.685309296E0
1.895382083E0,5.529501343E-1,1.996697845E0,8.334667969E0
1.915285083E0,2.948867798E-1,2.285597076E0,1.083192490E1
1.935187083E0,3.432362366E-1,1.322050781E0,8.459658051E0
1.955090083E0,9.867480469E-1,1.617087250E0,1.008722351E1
1.974992083E0,-2.752775574E-1,3.562591553E0,9.897268524E0
1.994895083E0,1.451980591E-1,7.406597900E-1,1.001911514E1
2.014797083E0,1.459465027E-1,2.453248444E0,8.260721741E0
2.034700083E0,2.624043274E-1,2.005080414E0,1.232881210E1
2.054602083E0,-6.735992432E-3,2.250120850E0,7.217391357E0
2.074505083E0,3.405418396E-1,1.941462708E0,1.056023987E1
2.094407083E0,2.874023438E-2,2.686762848E0,9.644593964E0
2.114310083E0,7.818241882E-1,1.857637024E0,8.142018585E0
2.134212083E0,-6.557862854E-1,2.573298798E0,1.147379013E1
2.154114083E0,1.335223389E-1,1.074315948E0,8.097710724E0
2.174017083E0,2.595602417E-1,1.811682587E0,8.984616394E0
2.193919083E0,2.781216431E-1,2.960393829E0,9.868827667E0
2.213822083E0,-3.242257690E-1,1.153650970E0,9.195378113E0
2.233724083E0,7.367678833E-1,1.694176941E0,8.175997925E0
2.253627083E0,9.116043091E-2,3.161725159E0,1.230126938E1
2.273529083E0,6.596781921E-1,1.274300079E0,7.068151703E0
2.293432083E0,-5.204676819E-1,2.251468048E0,9.696985016E0
2.313334083E0,1.550775146E-1,1.690285034E0,9.824819183E0
2.333237083E0,9.445358276E-2,1.953437805E0,8.068521423E0
2.353139083E0,3.457809448E-1,2.640808411E0,9.755213928E0
2.373042083E0,-5.465135193E-1,1.254092102E0,9.579479370E0
2.392944083E0,3.417393494E-1,2.304457855E0,8.542735291E0
2.412847083E0,1.100212097E-1,2.765050049E0,1.042566971E1
2.432749083E0,4.866380310E-1,9.265731812E-1,9.737550659E0
2.452652083E0,-3.917353821E-1,2.411185913E0,8.155340881E0
2.472554083E0,2.550695801E-1,2.476450195E0,1.190444458E1
2.492457083E0,4.037104797E-1,1.009949799E0,9.200317841E0
2.512359083E0,2.642005920E-1,2.250869293E0,9.132658539E0
2.532262083E0,-2.694396973E-3,2.419119415E0,1.222627533E1
2.552164083E0,5.104385376E-1,2.351759491E0,7.280260620E0
2.572064708E0,-1.227447510E-2,1.270408173E0,1.081605789E1
2.591967708E0,2.875520325E-1,3.170107727E0,1.033046768E1
