"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.984847784E-1,1.688516255E1,7.361764368E1,1.694633484E2,7.269999981E0,8.964843750E1,3.535533906E0,3.000000000E0
1.698434711E0,1.688516733E1,7.361771626E1,1.698152161E2,7.440000057E0,8.683593750E1,3.535533906E0,3.000000000E0
2.698381662E0,1.688521627E1,7.361779472E1,1.696728210E2,8.439999580E0,9.070289612E1,3.535533906E0,3.000000000E0
3.698336124E0,1.688521536E1,7.361787180E1,1.700419617E2,8.510000229E0,9.070289612E1,3.535533906E0,3.000000000E0
4.698327780E0,1.688521418E1,7.361795141E1,1.698969421E2,8.510000229E0,9.094933319E1,3.535533906E0,3.000000000E0
5.698222399E0,1.688521289E1,7.361803125E1,1.698969477E2,8.510000229E0,9.096495056E1,4.667677301E0,3.469484925E0
6.698174834E0,1.688521204E1,7.361810457E1,1.695730341E2,8.510000229E0,9.056935883E1,4.667677575E0,3.469484556E0
7.698117495E0,1.688521127E1,7.361818483E1,1.701825311E2,8.449999809E0,9.056935883E1,4.667677894E0,3.469484127E0
8.698063135E0,1.688520969E1,7.361826993E1,1.700719971E2,8.920000076E0,9.112760162E1,4.667678250E0,3.469483648E0
9.698018312E0,1.688520909E1,7.361835445E1,1.702388062E2,8.920000076E0,8.919038391E1,4.667678567E0,3.469483222E0
1.069796503E1,1.688521018E1,7.361843487E1,1.704570066E2,8.729999542E0,8.919038391E1,4.667678872E0,3.469482811E0
1.169791484E1,1.688521135E1,7.361852076E1,1.711526243E2,8.729999542E0,8.919038391E1,4.667679206E0,3.469482362E0
1.269787633E1,1.688521245E1,7.361860162E1,1.711053221E2,8.739999771E0,8.919038391E1,4.667679508E0,3.469481956E0
1.369784069E1,1.688521432E1,7.361869405E1,1.709231940E2,9.350000381E0,8.877542114E1,4.667679858E0,3.469481485E0
1.469780850E1,1.688519227E1,7.361878141E1,1.710036384E2,9.350000381E0,8.894533798E1,4.667680197E0,3.469481029E0
1.569777894E1,1.688519552E1,7.361886958E1,1.709774543E2,9.350000381E0,8.859377548E1,4.667680531E0,3.469480580E0
1.669775164E1,1.688519563E1,7.361895847E1,1.711537849E2,9.380000114E0,8.894533807E1,4.667680878E0,3.469480113E0
1.769772696E1,1.688519428E1,7.361904358E1,1.713786384E2,9.399999619E0,9.000002562E1,4.667681213E0,3.469479662E0
1.869770384E1,1.688520439E1,7.361912237E1,1.720575938E2,9.569999695E0,9.035158859E1,4.667681478E0,3.469479306E0
1.969768298E1,1.688519746E1,7.361920818E1,1.725936655E2,9.569999695E0,9.281252606E1,4.667681835E0,3.469478825E0
2.069766510E1,1.688518625E1,7.361931193E1,1.721579966E2,9.569999695E0,9.527346348E1,4.667682280E0,3.469478227E0
2.169764698E1,1.688517045E1,7.361940791E1,1.726399307E2,9.909999847E0,9.667971433E1,4.667682709E0,3.469477650E0
2.269763267E1,1.688515425E1,7.361950289E1,1.726926653E2,1.007999992E1,9.914065213E1,4.667683136E0,3.469477075E0
