"event","experiment time","system time","system time text"
"START",0.000000000E0,1711706847.235,"2024-03-29 15:37:27.235 UTC+05:30"
"PAUSE",1.972137223E2,1711707044.448,"2024-03-29 15:40:44.448 UTC+05:30"
