"event","experiment time","system time","system time text"
"START",0.000000000E0,1711706726.451,"2024-03-29 15:35:26.451 UTC+05:30"
"PAUSE",8.273731456E2,1711707553.824,"2024-03-29 15:49:13.824 UTC+05:30"
