"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.577479168E-2,-5.143304443E-1,-6.710545349E-1,8.863368530E0
3.567779169E-2,-1.298998718E0,-5.429209900E-1,1.208437042E1
5.557979169E-2,-6.322851562E-1,8.967851257E-1,9.320368195E0
7.548279167E-2,-9.216334534E-1,-1.685494995E-1,1.112516510E1
9.538479167E-2,-1.509910126E0,-3.155438232E-1,1.135269196E1
1.152867917E-1,-1.550026703E0,6.990463257E-1,9.928104401E0
1.351897917E-1,-6.662644958E-1,-9.716294861E-1,1.190264832E1
1.550917917E-1,-2.091450806E0,-1.368154907E-1,9.215436401E0
1.749937917E-1,-1.072220306E0,-7.677534485E-1,1.143367355E1
1.948967917E-1,-1.876647491E0,-5.448669434E-2,9.328451385E0
2.147987917E-1,-2.067201233E0,-8.017327881E-1,1.144849274E1
2.347017917E-1,-9.126521301E-1,8.622070313E-1,1.113205078E1
2.546037917E-1,-1.891167297E0,-1.046773224E0,8.197104034E0
2.745057917E-1,-2.760559387E0,5.019062805E-1,1.253328690E1
2.944087917E-1,-1.436862030E0,-9.372010803E-1,7.032226410E0
3.143107917E-1,-4.993615723E-1,2.528242493E-1,1.238449631E1
3.342127917E-1,-2.384092255E0,-6.017486572E-2,9.808952179E0
3.541157917E-1,-2.634820862E0,-5.384303284E-1,1.027777725E1
3.740177917E-1,-1.557511139E0,-1.412612457E0,7.588769073E0
3.939207917E-1,-2.286046143E0,4.219725037E-1,9.624984741E0
4.138227917E-1,-7.613168335E-1,-1.998494110E0,6.921606445E0
4.337247917E-1,-2.013462982E0,-2.540217590E-1,9.282197571E0
4.536277917E-1,-4.332290955E0,-8.518785095E-1,9.342971191E0
4.735297917E-1,-1.702858887E0,4.822970581E-1,1.076576248E1
4.934317917E-1,-8.310717773E-1,-1.944157104E0,9.649833069E0
5.133347917E-1,-2.713706818E0,3.109034729E-1,7.818541260E0
5.332367917E-1,-1.300196228E0,-1.153650970E0,1.305285645E1
5.531397917E-1,-2.774330750E0,1.484163666E0,6.639742584E0
5.730417917E-1,-1.241069183E0,-9.978250122E-1,1.378049332E1
5.929437917E-1,-2.626138916E0,5.246589661E-1,8.700656891E0
6.128467917E-1,-1.486408997E0,-1.445993042E-1,1.303010376E1
6.327487917E-1,-3.000061340E0,1.444496155E-1,7.418123932E0
6.526517917E-1,-2.284698944E0,-4.640350342E-1,1.272593628E1
6.725537917E-1,-2.156415710E0,9.939331055E-2,7.855963440E0
6.924557917E-1,-2.122735748E0,1.875599670E-1,1.256412277E1
7.123587917E-1,-2.324516144E0,5.049000549E-1,7.843688965E0
7.322607917E-1,-1.906734924E0,-3.408412170E-1,1.068088898E1
7.521627917E-1,-2.520758057E0,2.251318359E-1,8.674760742E0
7.720657917E-1,-1.652713165E0,9.626481628E-1,1.175909683E1
7.919677917E-1,-2.228865051E0,5.029541016E-1,6.895261230E0
8.118711667E-1,-2.164798279E0,7.578739929E-1,1.145672562E1
8.317731667E-1,-2.424508209E0,8.743318176E-1,8.075856171E0
8.516751667E-1,-1.401984558E0,1.441801758E0,9.772727509E0
8.715781667E-1,-2.283052368E0,1.020278320E0,8.673862610E0
8.914801667E-1,-1.854194183E0,9.268725586E-1,1.136421799E1
9.113821667E-1,-2.397414551E0,8.857081604E-1,7.963439941E0
9.312851667E-1,-2.052980804E0,9.632469177E-1,1.190893524E1
9.511871667E-1,-1.312321014E0,1.105900269E0,8.900042267E0
9.710901667E-1,-2.140099640E0,1.070274353E0,1.070349197E1
9.909921667E-1,-2.790048065E0,1.296753387E0,9.160800018E0
1.010894167E0,-1.653611298E0,9.430389404E-1,1.060215271E1
1.030797167E0,-1.671723633E0,1.167572021E-1,8.969647522E0
1.050699167E0,-1.852547607E0,8.054750061E-1,9.542805634E0
1.070601167E0,-1.659299469E0,3.782633972E-1,9.743987274E0
1.090504167E0,-2.203867035E0,1.758393402E0,9.824968872E0
1.110406167E0,-1.396296387E0,5.748046875E-1,9.900861053E0
1.130309167E0,-2.041903839E0,1.240620117E0,1.044273422E1
1.150211167E0,-2.073488159E0,8.416996765E-1,9.446106720E0
1.170113167E0,-1.465901642E0,8.111631775E-1,8.858728180E0
1.190016167E0,-1.109343109E0,3.255729675E-1,1.041040146E1
1.209918167E0,-1.310973816E0,9.942324829E-1,9.191935272E0
1.229820167E0,-1.505419464E0,7.378157043E-1,8.756790161E0
1.249723167E0,-1.639241180E0,1.009051666E0,1.023586441E1
1.269625167E0,-8.122109985E-1,6.779402161E-1,8.318800964E0
1.289528167E0,-6.436614990E-1,7.714956665E-1,1.073058563E1
1.309430167E0,-2.307152252E0,8.560697937E-1,8.706494751E0
1.329332167E0,-4.445755005E-1,7.551795959E-1,1.043315414E1
1.349235167E0,-6.104306030E-1,4.751119995E-1,9.407936096E0
1.369137167E0,-7.027885437E-1,6.837780762E-1,1.011985565E1
