"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.226943970E-3,1.695946241E1,7.362805633E1,2.481571655E2,NaN,NaN,3.002000000E3,2.446510553E0
2.036125898E0,1.687203205E1,7.363683220E1,2.454680481E2,5.400000095E0,2.777343750E1,5.400245570E1,6.400000000E1
3.040903091E0,1.687196114E1,7.363677177E1,2.084714050E2,7.369999886E0,4.570312500E1,2.337282964E1,6.000000000E0
4.040757895E0,1.687197577E1,7.363678333E1,2.101172791E2,7.019999981E0,3.796875000E1,2.077173787E1,3.000000000E0
4.309767008E0,1.687219667E1,7.363689121E1,2.095954895E2,7.369999886E0,3.445312500E1,1.199184308E1,3.000000000E0
5.308438063E0,1.687237170E1,7.363680699E1,2.092577820E2,8.010000229E0,4.305405045E1,2.263633045E1,3.000000000E0
6.308238029E0,1.687240886E1,7.363684305E1,2.088889465E2,7.619999886E0,4.305405045E1,2.063074852E1,4.000000000E0
7.289859414E0,1.687244881E1,7.363692823E1,2.095542908E2,7.619999886E0,5.758517838E1,1.057023380E1,4.000000000E0
8.289660811E0,1.687247207E1,7.363700242E1,2.098012390E2,7.579999924E0,6.535774231E1,9.856977616E0,4.000000000E0
9.289515615E0,1.687244291E1,7.363708755E1,2.100955505E2,7.579999924E0,9.406154633E1,8.464436157E0,4.000000000E0
1.028935301E1,1.687245701E1,7.363711836E1,2.099436951E2,7.579999924E0,9.406154633E1,7.699825478E0,3.000000000E0
1.128919721E1,1.687242818E1,7.363717854E1,2.104341736E2,7.519999981E0,9.406154633E1,5.071901663E0,3.000000000E0
1.228905487E1,1.687243463E1,7.363722414E1,2.091231995E2,7.519999981E0,1.058523026E2,3.904984753E0,3.000000000E0
1.328891110E1,1.687241112E1,7.363727594E1,2.079693298E2,7.429999828E0,1.056174088E2,3.605631107E0,3.000000000E0
1.428878224E1,1.687237839E1,7.363733682E1,2.079693341E2,7.429999828E0,1.056174088E2,4.675220096E0,3.459314106E0
1.528866303E1,1.687237597E1,7.363742011E1,2.078762555E2,7.429999828E0,1.056174088E2,4.700592741E0,3.424757644E0
1.628854215E1,1.687235363E1,7.363750447E1,2.066524405E2,8.229999542E0,1.056174088E2,4.667804785E0,3.469313408E0
