"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.566057900E-2,1.686383970E1,7.359713800E1,NaN,NaN,NaN,3.400000000E3,0.000000000E0
4.673726873E0,1.687516391E1,7.362395121E1,2.048964364E2,0.000000000E0,NaN,8.576000214E0,1.200000000E1
5.671530675E0,1.687515359E1,7.362393890E1,2.014881378E2,0.000000000E0,NaN,6.432000160E0,8.000000000E0
6.638298175E0,1.687514536E1,7.362393831E1,2.010067184E2,0.000000000E0,NaN,6.432000160E0,8.000000000E0
7.638893955E0,1.687514396E1,7.362393236E1,1.999458067E2,0.000000000E0,NaN,5.360000134E0,6.000000000E0
8.644241455E0,1.687514785E1,7.362392526E1,1.997020774E2,0.000000000E0,NaN,4.288000107E0,6.000000000E0
9.667748955E0,1.687515181E1,7.362391885E1,1.987623033E2,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.064279739E1,1.687515219E1,7.362391481E1,1.977725540E2,0.000000000E0,NaN,4.288000107E0,6.000000000E0
1.164197442E1,1.687515278E1,7.362391347E1,1.968359059E2,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.263784572E1,1.687515328E1,7.362391157E1,1.967904932E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.364074385E1,1.687515110E1,7.362391365E1,1.960737043E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.463935374E1,1.687514875E1,7.362391458E1,1.958088807E2,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.566971557E1,1.687514690E1,7.362391579E1,1.956110723E2,0.000000000E0,NaN,3.216000080E0,6.000000000E0
1.664212088E1,1.687514585E1,7.362391641E1,1.955391765E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.763860249E1,1.687514502E1,7.362391683E1,1.955311837E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.864421411E1,1.687514458E1,7.362391702E1,1.955338097E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
1.963895994E1,1.687514428E1,7.362391714E1,1.955206882E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
2.064220546E1,1.687514407E1,7.362391723E1,1.955088481E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
2.164501874E1,1.687514392E1,7.362391729E1,1.954981674E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
2.264327520E1,1.687514384E1,7.362391729E1,1.955004260E2,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.364558072E1,1.687514378E1,7.362391730E1,1.954981679E2,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.464126848E1,1.687514372E1,7.362391731E1,1.954859000E2,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.565578619E1,1.687514366E1,7.362391732E1,1.954782098E2,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.666372041E1,1.687514361E1,7.362391734E1,1.954698481E2,0.000000000E0,NaN,3.216000080E0,3.000000000E0
2.763729207E1,1.687514357E1,7.362391732E1,1.954608151E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
2.864803379E1,1.687514352E1,7.362391732E1,1.954543455E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
2.964831275E1,1.687514347E1,7.362391736E1,1.954561767E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
3.065244462E1,1.687514341E1,7.362391740E1,1.954415895E2,0.000000000E0,NaN,3.216000080E0,4.000000000E0
3.164032686E1,1.687511438E1,7.362394276E1,1.934293654E2,3.670000076E0,1.433999939E2,3.216000080E0,4.000000000E0
3.263876066E1,1.687507867E1,7.362397216E1,1.932223404E2,3.230000019E0,1.435000000E2,3.216000080E0,4.000000000E0
3.363964494E1,1.687504458E1,7.362399755E1,1.920722540E2,3.529999971E0,1.450000000E2,3.216000080E0,4.000000000E0
3.464820879E1,1.687500240E1,7.362402689E1,1.922798003E2,4.579999924E0,1.450000000E2,4.288000107E0,4.000000000E0
3.564217290E1,1.687488802E1,7.362410345E1,1.912374777E2,5.800000191E0,1.396000061E2,4.288000107E0,6.000000000E0
3.664239816E1,1.687482876E1,7.362414548E1,1.903958903E2,6.269999981E0,1.428000031E2,3.216000080E0,4.000000000E0
3.764257327E1,1.687477956E1,7.362418627E1,1.895734353E2,6.500000000E0,1.430000000E2,3.216000080E0,6.000000000E0
3.864416983E1,1.687473264E1,7.362422482E1,1.903554031E2,6.469999790E0,1.423000031E2,4.288000107E0,6.000000000E0
3.964611124E1,1.687467935E1,7.362426310E1,1.903716440E2,6.420000076E0,1.445000000E2,4.288000107E0,6.000000000E0
4.064461868E1,1.687461563E1,7.362431514E1,1.917740944E2,6.969999790E0,1.435000000E2,4.288000107E0,6.000000000E0
4.164368326E1,1.687457441E1,7.362436133E1,1.918402886E2,6.909999847E0,1.423000031E2,5.360000134E0,6.000000000E0
4.263747405E1,1.687451732E1,7.362440907E1,1.916000156E2,7.329999924E0,1.428000031E2,7.504000187E0,6.000000000E0
