"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.714769237E0,8.889335990E-1,1.582253933E0,9.388239861E0
1.734471164E0,4.316053987E-1,1.287637711E0,9.560821533E0
1.754173924E0,1.091725305E-1,1.073480010E0,9.639784813E0
1.773879341E0,1.525424421E-1,1.019342422E0,9.899705887E0
1.793602049E0,3.463610709E-1,1.084247708E0,1.014048290E1
1.813292518E0,2.542374097E-2,1.100997567E0,1.036092186E1
1.833000591E0,-1.710868180E-1,1.134497046E0,1.041595650E1
1.852697257E0,1.139581800E-1,1.291226864E0,9.533304214E0
1.872408195E0,4.040879309E-1,1.653141379E0,9.167800903E0
1.892136632E0,7.824530005E-1,1.867298961E0,8.919844627E0
1.911828351E0,1.054337502E0,1.818246126E0,8.419146538E0
1.931545122E0,1.039980531E0,1.671087503E0,8.570193291E0
1.951222987E0,1.133300662E0,1.462612867E0,8.903095245E0
1.970917987E0,1.508375525E0,1.569093466E0,9.767801285E0
1.990628455E0,1.480858088E0,1.591825247E0,1.097647572E1
2.010347830E0,1.252044439E0,1.171585798E0,1.076560783E1
2.030037830E0,4.758726060E-1,6.984050870E-1,9.886545181E0
2.049757622E0,1.019940674E-1,4.289134443E-1,9.090034485E0
2.069461424E0,4.435695112E-1,8.985049129E-1,9.043374062E0
2.089145539E0,1.084247708E0,1.588235974E0,9.590732574E0
2.108878091E0,1.037587762E0,1.842174292E0,1.004835987E1
2.128567570E0,9.825528264E-1,1.920240164E0,1.024816036E1
2.148287414E0,9.236295223E-1,1.935793519E0,1.026730251E1
2.168011893E0,6.302096844E-1,1.852941990E0,1.005314541E1
2.187682830E0,3.451646566E-1,1.673480392E0,9.572786331E0
2.207384289E0,1.657029688E-1,1.350150228E0,9.254241943E0
2.227066789E0,1.585244983E-1,1.073480010E0,8.814560890E0
2.246829289E0,-5.593222752E-2,8.087740541E-1,8.549854279E0
2.266500643E0,-3.278166950E-1,6.828517914E-1,9.183354378E0
2.286193039E0,-1.336989701E-1,8.662018180E-1,1.022064304E1
2.305911268E0,3.379862010E-1,1.191924810E0,1.088076305E1
2.325638143E0,3.894318938E-1,1.311565876E0,1.044706345E1
2.345308403E0,4.423730969E-1,1.287637711E0,9.130712509E0
2.365043403E0,7.357929349E-1,1.487737536E0,8.610871315E0
2.384736372E0,1.193121195E0,1.877169371E0,9.088837624E0
2.404441060E0,1.141675472E0,1.909472466E0,9.875777245E0
2.424147466E0,6.903293133E-1,1.636391640E0,1.052602673E1
2.443864341E0,4.926223755E-1,1.183549881E0,9.544072151E0
2.463572362E0,1.453639716E-1,1.034895778E0,8.395217896E0
2.483282310E0,-2.721835673E-2,1.091426253E0,7.976175308E0
2.502959341E0,3.439682424E-1,1.279262781E0,8.175078392E0
2.522677257E0,5.991029739E-1,1.549950838E0,9.322437286E0
2.542375018E0,5.273182988E-1,1.412363529E0,1.009262657E1
2.562085539E0,2.937189937E-1,1.148854017E0,1.020149994E1
2.581790539E0,9.361918271E-2,9.894321561E-1,1.000379372E1
2.601471685E0,2.614158690E-1,1.089033365E0,9.760622978E0
2.621177935E0,2.697907388E-1,1.331904888E0,9.868598938E0
2.640904289E0,1.944168359E-1,1.382453322E0,9.554840088E0
2.660593039E0,9.122636169E-2,1.353739381E0,9.154640198E0
2.680341893E0,3.260220960E-2,1.364507079E0,9.237193108E0
2.700046216E0,-1.423729509E-1,1.299601793E0,9.428917885E0
2.719748403E0,-2.344966233E-1,1.338186026E0,1.037647533E1
2.739421685E0,-1.639083475E-1,1.278066397E0,1.084816074E1
2.759158143E0,2.195414752E-1,1.245763302E0,1.020030403E1
2.778838195E0,4.435695112E-1,1.284048438E0,8.974879265E0
2.798555070E0,5.285146832E-1,1.395613790E0,8.407182693E0
2.818249757E0,7.477570772E-1,1.643570065E0,9.015856743E0
2.837955955E0,6.879364848E-1,1.484148264E0,9.304491043E0
2.857647153E0,3.966103494E-1,1.172782183E0,9.573982239E0
2.877389810E0,2.279163599E-1,8.709874153E-1,9.870991707E0
2.897072466E0,-1.145563871E-1,6.469594240E-1,9.494720459E0
2.916770539E0,-1.495514214E-1,7.630113363E-1,9.305686951E0
2.936469914E0,2.602194548E-1,1.323530078E0,9.618249893E0
2.956208820E0,6.469594240E-1,1.907079697E0,9.422935486E0
2.975882101E0,7.968099117E-1,2.326122761E0,8.924630165E0
2.995595747E0,6.421737671E-1,2.446063042E0,8.468498230E0
3.015280226E0,2.255235314E-1,2.281855583E0,8.421539307E0
