"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.686374995E-3,-8.072712708E-1,2.408940582E0,9.794282684E0
1.721562500E-2,5.587879944E-1,2.761158142E0,1.085093536E1
3.711762500E-2,1.375639343E-1,6.993457031E-1,7.079528046E0
5.701862500E-2,-2.218386841E-1,1.583556976E0,1.034154465E1
7.692062500E-2,4.070036316E-1,2.842588806E0,6.124064941E0
9.682162499E-2,1.703906708E0,1.686243439E0,1.042028091E1
1.167236250E-1,9.939331055E-2,2.247576141E0,1.178050232E1
1.366246250E-1,-2.799179077E-1,1.625320129E0,9.094787292E0
1.565266250E-1,1.192869415E0,9.967771912E-1,1.173424850E1
1.764286250E-1,3.191363525E-1,2.801723785E0,1.128682892E1
1.963296250E-1,1.489402771E-1,1.200653229E0,8.805289307E0
2.162316250E-1,4.628375244E-1,3.219355316E0,8.430768127E0
2.361326250E-1,1.156345367E0,2.452200623E0,8.715925140E0
2.560346250E-1,1.582958221E0,2.399210815E0,1.199395844E1
2.759356250E-1,-4.194277954E-1,1.895208893E0,1.447624649E1
2.958376250E-1,4.058061218E-1,1.872156830E0,7.145690460E0
3.157386250E-1,2.556833038E0,1.914518738E0,1.205143890E1
3.356406250E-1,-1.905537415E-1,1.334175568E0,8.863667908E0
3.555426250E-1,6.643185425E-1,3.114722900E0,5.946234741E0
3.754436250E-1,2.792293396E0,2.458337860E0,1.308833267E1
3.953456250E-1,-3.210823059E-1,1.861977997E0,7.350015564E0
4.152466250E-1,1.332379303E0,1.668131104E0,1.009111542E1
4.351486250E-1,7.529342651E-1,2.701881409E-1,7.751181335E0
4.550496250E-1,1.287472687E0,2.119891663E0,8.639434204E0
4.749516250E-1,3.411405945E-1,8.141569519E-1,1.051039352E1
4.948536250E-1,8.831634521E-1,2.366728363E0,8.930429077E0
5.147546250E-1,2.184257813E0,9.548643494E-1,1.126302841E1
5.346566250E-1,1.184486847E0,3.043471069E0,1.101125198E1
5.545576250E-1,2.068698120E-1,4.513114929E-1,6.740183716E0
5.744596250E-1,2.224973145E0,2.301314392E0,1.153396500E1
5.943606250E-1,-5.373825073E-2,1.121168518E0,7.687413940E0
6.142626250E-1,1.572629700E0,1.447190552E0,1.153591095E1
6.341646250E-1,6.188131714E-1,2.817740479E0,6.126310272E0
6.540656250E-1,1.998344421E-1,5.763015747E-1,1.343022171E1
6.739676250E-1,1.057251434E0,4.474794617E0,9.869426422E0
6.938686250E-1,1.892065430E-1,3.782633972E-1,8.916807404E0
7.137706250E-1,1.784139862E0,1.758992157E0,1.167063080E1
7.336716250E-1,1.770817566E-1,3.006348267E0,5.798342285E0
7.535736250E-1,4.239184570E-1,2.195933533E-1,1.032088760E1
7.734756250E-1,2.106269989E0,1.910477142E0,8.711135101E0
7.933766250E-1,5.227130127E-1,1.400038605E0,9.217981110E0
8.132786250E-1,8.422984314E-1,3.539389801E0,7.069349213E0
8.331796250E-1,5.210664368E-1,1.100062408E0,8.699908447E0
8.530816250E-1,1.731898499E-1,3.420387268E0,8.490344238E0
8.729826250E-1,-4.258644104E-1,2.262545013E0,9.709409180E0
8.928846250E-1,5.095404053E-1,2.121538239E0,1.169353317E1
9.127866250E-1,-1.185534668E-1,2.808609467E0,1.046189438E1
9.326876250E-1,-7.484436035E-4,1.359622650E0,1.047865952E1
9.525896250E-1,1.672023010E-1,1.060544586E0,1.104448288E1
9.724906250E-1,3.814068604E-1,5.821394348E-1,1.098685272E1
9.923926250E-1,6.228547668E-1,3.082539825E0,1.120809265E1
1.012293625E0,-3.656895447E-1,6.167175293E-1,8.475525055E0
1.032195625E0,1.999691620E0,1.001267853E0,9.896370392E0
1.052097625E0,1.086590424E0,7.923023987E-1,9.056766357E0
1.071998625E0,3.382965088E-2,1.820813599E0,7.109166412E0
1.091900625E0,6.282435608E-1,1.091530151E0,1.107082809E1
1.111801625E0,1.807191925E0,3.306923218E0,7.202572174E0
1.131703625E0,-3.547622681E-2,2.410587158E0,1.077579163E1
1.151605625E0,4.019142151E-1,2.821931763E0,8.213569794E0
1.171506625E0,6.523434448E-1,7.247927856E-1,9.141939240E0
1.191408625E0,1.022373962E-1,3.477718048E0,1.050829788E1
1.211309625E0,4.695735168E-1,1.758692780E0,9.757010193E0
1.231211625E0,-9.388476562E-1,2.440524902E0,1.054167847E1
1.251112625E0,3.532653809E-1,2.257605286E0,9.071735229E0
1.271014625E0,8.307723999E-1,2.472558289E0,1.017688705E1
1.290916625E0,-7.484436035E-1,2.640808411E0,9.709708557E0
1.310817625E0,4.490661621E-4,2.925216980E0,7.768545227E0
1.330719625E0,6.035449219E-1,2.327659607E0,1.152902527E1
1.350620625E0,-7.581733704E-1,1.812580719E0,9.295370178E0
1.370522625E0,2.784210205E-1,3.416645050E0,9.974807281E0
1.390423625E0,-1.052760773E0,1.867666168E0,8.810079346E0
1.410325625E0,-4.020639038E-1,3.394341431E0,9.038055267E0
1.430227625E0,-7.092251587E-1,2.724484406E0,9.181906128E0
1.450128625E0,-1.622625732E-1,3.343896332E0,7.735613708E0
1.470030625E0,1.315763855E-1,1.759740601E0,9.433981934E0
1.489931625E0,8.577163696E-2,1.501527557E0,8.762178955E0
1.509833625E0,1.073268127E-1,2.893333282E0,7.676037598E0
1.529735625E0,8.113128662E-2,1.285227356E0,1.147708328E1
1.549636625E0,6.878196716E-1,3.849544830E0,7.064409485E0
1.569538625E0,2.377056885E-1,1.484762421E0,1.032912048E1
1.589439625E0,-2.992277527E-1,2.620899811E0,8.823102264E0
1.609341625E0,7.679031372E-2,2.262844391E0,1.142993134E1
1.629242625E0,-8.023315430E-2,2.425705719E0,1.004231689E1
1.649144625E0,2.612068176E-1,4.716691589E-1,1.133263367E1
1.669046625E0,1.356179810E-1,2.763702850E0,7.957602081E0
1.688947625E0,-1.570234680E-1,2.796185303E-1,1.176194092E1
1.708849625E0,-9.731263733E-1,1.997745667E0,8.022417297E0
