"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.130959511E-3,1.683879942E1,7.363759273E1,8.566152954E1,NaN,NaN,6.503071327E2,2.600246191E0
4.257202148E-2,1.683828357E1,7.363739254E1,8.566152954E1,NaN,NaN,6.532416893E2,3.950679779E0
6.061589718E-1,1.684073503E1,7.363838101E1,8.618179321E1,4.650000095E0,1.852734375E2,2.804205844E1,2.400000000E1
1.846159101E0,1.684076324E1,7.363833482E1,8.879739380E1,4.650000095E0,2.081250000E2,9.089263788E0,4.000000000E0
2.846159577E0,1.684072543E1,7.363833013E1,8.931634521E1,4.650000095E0,1.982812500E2,5.633885065E0,4.000000000E0
3.846160293E0,1.684067485E1,7.363835075E1,9.133639526E1,4.699999809E0,2.017968750E2,4.122796247E0,4.000000000E0
4.846161008E0,1.684063239E1,7.363832317E1,9.201779175E1,5.559999943E0,2.014453125E2,3.677839686E0,4.000000000E0
5.846161485E0,1.684057636E1,7.363830415E1,9.427224731E1,5.559999943E0,1.986328125E2,3.535533906E0,4.000000000E0
6.846100450E0,1.684051861E1,7.363828638E1,9.598947144E1,5.559999943E0,2.032031250E2,3.535533906E0,3.000000000E0
7.846091866E0,1.684047398E1,7.363827045E1,9.707254028E1,5.710000038E0,2.007421875E2,3.535533906E0,3.000000000E0
8.846087337E0,1.684041426E1,7.363824564E1,9.764791870E1,5.730000019E0,2.021484375E2,3.535533906E0,3.000000000E0
9.846078396E0,1.684036262E1,7.363823248E1,9.838516235E1,5.969999790E0,1.951171875E2,3.535533906E0,3.000000000E0
1.084606373E1,1.684031686E1,7.363820415E1,9.850650024E1,5.969999790E0,2.098828125E2,3.535533906E0,3.000000000E0
1.184605396E1,1.684027017E1,7.363817423E1,9.825576782E1,5.659999847E0,2.046093750E2,3.535533906E0,3.000000000E0
1.284604526E1,1.684022897E1,7.363815411E1,9.847000122E1,5.539999962E0,1.975781250E2,3.535533906E0,3.000000000E0
1.384603143E1,1.684018125E1,7.363813841E1,9.847000355E1,5.539999962E0,1.975781205E2,4.667935549E0,3.469137464E0
