"event","experiment time","system time","system time text"
"START",0.000000000E0,1711706466.315,"2024-03-29 15:31:06.315 UTC+05:30"
"PAUSE",1.350125026E1,1711706479.816,"2024-03-29 15:31:19.816 UTC+05:30"
"START",1.350125026E1,1711706485.180,"2024-03-29 15:31:25.180 UTC+05:30"
"PAUSE",6.627737846E1,1711706537.957,"2024-03-29 15:32:17.957 UTC+05:30"
"START",6.627737846E1,1711706567.234,"2024-03-29 15:32:47.234 UTC+05:30"
"PAUSE",1.214546713E2,1711706622.411,"2024-03-29 15:33:42.411 UTC+05:30"
