x_acc,y_acc,z_acc,Latitude,Longitude,accTime
-1.3603196144104004,9.092127799987793,-0.5913262963294983,16.8299159,73.5198127,2024-03-29 11:26:46:091
-1.3603196144104004,9.08255672454834,-0.5985047817230225,16.8299159,73.5198127,2024-03-29 11:26:46:111
-1.3459627628326416,9.08255672454834,-0.6391827464103699,16.8299159,73.5198127,2024-03-29 11:26:46:131
-1.3483555316925049,9.11156940460205,-0.6152545213699341,16.8299159,73.5198127,2024-03-29 11:26:46:153
-1.3411771059036255,9.154640197753906,-0.6296114325523376,16.8299159,73.5198127,2024-03-29 11:26:46:172
-1.389033555984497,9.14985466003418,-0.5937191247940063,16.8299159,73.5198127,2024-03-29 11:26:46:193
-1.3722838163375854,9.152247428894043,-0.6176473498344421,16.8299159,73.5198127,2024-03-29 11:26:46:210
-1.4057832956314087,9.14267635345459,-0.6248258352279663,16.8299159,73.5198127,2024-03-29 11:26:46:231
-1.357926845550537,9.161818504333496,-0.6343970894813538,16.8299159,73.5198127,2024-03-29 11:26:46:269
-1.3770694732666016,9.133105278015137,-0.6200401782989502,16.8299159,73.5198127,2024-03-29 11:26:46:274
-1.3914263248443604,9.140283584594727,-0.5410770177841187,16.8299159,73.5198127,2024-03-29 11:26:46:293
-1.3746765851974487,9.140283584594727,-0.6032904386520386,16.8299159,73.5198127,2024-03-29 11:26:46:308
-1.3507484197616577,9.166604042053223,-0.5937191247940063,16.8299159,73.5198127,2024-03-29 11:26:46:340
-1.3770694732666016,9.104391098022461,-0.6080760359764099,16.8299159,73.5198127,2024-03-29 11:26:46:430
-1.3698909282684326,9.147461891174316,-0.6391827464103699,16.8299159,73.5198127,2024-03-29 11:26:46:604
-1.3986048698425293,9.133105278015137,-0.6032904386520386,16.8299159,73.5198127,2024-03-29 11:26:46:623
-1.3914263248443604,9.113962173461914,-0.6200401782989502,16.8299159,73.5198127,2024-03-29 11:26:46:645
-1.3603196144104004,9.09691333770752,-0.6729813814163208,16.8299159,73.5198127,2024-03-29 11:26:46:663
-1.3770694732666016,9.070592880249023,-0.6511468887329102,16.8299159,73.5198127,2024-03-29 11:26:46:683
