"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.374772759E0,1.684676975E1,7.364685957E1,1.001376548E2,0.000000000E0,NaN,1.500800037E1,1.600000000E1
3.341617134E0,1.684676829E1,7.364686097E1,1.002640640E2,0.000000000E0,NaN,1.179199982E1,1.200000000E1
4.344232810E0,1.684676968E1,7.364686119E1,1.002593599E2,0.000000000E0,NaN,8.576000214E0,1.200000000E1
5.339140987E0,1.684671826E1,7.364687314E1,1.007230915E2,2.599999905E0,1.796999969E2,6.432000160E0,8.000000000E0
6.340043851E0,1.684668511E1,7.364688117E1,9.997204133E1,3.480000019E0,1.858000031E2,5.360000134E0,6.000000000E0
7.343691611E0,1.684665345E1,7.364687003E1,9.942037858E1,3.549999952E0,1.851999969E2,5.360000134E0,6.000000000E0
8.335558382E0,1.684660643E1,7.364683023E1,9.980887472E1,4.840000153E0,1.996999969E2,4.288000107E0,6.000000000E0
9.335522340E0,1.684655895E1,7.364681087E1,1.002135570E2,5.630000114E0,2.088000031E2,3.216000080E0,4.000000000E0
1.034038895E1,1.684651382E1,7.364677150E1,9.897582661E1,6.219999790E0,2.225000000E2,3.216000080E0,4.000000000E0
1.134108484E1,1.684648271E1,7.364673323E1,9.877766404E1,6.030000210E0,2.258999939E2,3.216000080E0,4.000000000E0
1.233901520E1,1.684646816E1,7.364667139E1,9.894290126E1,6.030000210E0,2.443000031E2,3.216000080E0,4.000000000E0
1.334393765E1,1.684644883E1,7.364661802E1,9.896411499E1,4.920000076E0,2.460000000E2,3.216000080E0,3.000000000E0
1.433929994E1,1.684644802E1,7.364656616E1,9.893473347E1,4.429999828E0,2.597999878E2,3.216000080E0,3.000000000E0
1.533562604E1,1.684644263E1,7.364654997E1,9.902110719E1,2.470000029E0,2.488000031E2,3.216000080E0,4.000000000E0
1.634223890E1,1.684644059E1,7.364652786E1,9.857231101E1,2.519999981E0,2.516000061E2,3.216000080E0,4.000000000E0
1.734916906E1,1.684642879E1,7.364649945E1,9.903516378E1,2.740000010E0,2.436000061E2,3.216000080E0,3.000000000E0
1.834006666E1,1.684641520E1,7.364646891E1,9.959073357E1,3.799999952E0,2.445000000E2,3.216000080E0,3.000000000E0
1.933623666E1,1.684640487E1,7.364642707E1,9.898112616E1,4.539999962E0,2.536999969E2,3.216000080E0,3.000000000E0
2.034065593E1,1.684639459E1,7.364637948E1,9.974633258E1,5.360000134E0,2.590000000E2,3.216000080E0,3.000000000E0
